row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014(Trình bày lại),numeric__Năm 2015,numeric__Năm 2014(Trình bày lại)
,,,VND,VND,,
Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,Chi phí bán hàng phát sinh trong năm,,
Chi phí vận chuyển,Chi phí bán hàng phát sinh trong năm > Chi phí vận chuyển,Chi phí vận chuyển,435.412.242.685,303.150.876.000,435412242685.0,303150876000.0
Chi phí khấu hao,Chi phí bán hàng phát sinh trong năm > Chi phí khấu hao,Chi phí khấu hao,308.396.016.201,150.537.340.374,308396016201.0,150537340374.0
Chi phí nhân viên bán hàng,Chi phí bán hàng phát sinh trong năm > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,272.776.614.145,151.822.181.610,272776614145.0,151822181610.0
Chi phí quảng cáo,Chi phí bán hàng phát sinh trong năm > Chi phí quảng cáo,Chi phí quảng cáo,121.754.835.771,51.735.882.425,121754835771.0,51735882425.0
Các khoản chi phí bán hàng khác,Chi phí bán hàng phát sinh trong năm > Các khoản chi phí bán hàng khác,Các khoản chi phí bán hàng khác,590.677.758.445,755.056.785.357,590677758445.0,755056785357.0
,,,1.729.017.467.247,1.412.303.065.766,1729017467247.0,1412303065766.0
Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,Chi phí quản lý doanh nghiệp phát sinh trong năm,,
Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,Phí quản lý phải nộp Tập đoàn Dầu khí Việt Nam,214.871.026.530,241.805.704.574,214871026530.0,241805704574.0
Chi phí an sinh xã hội,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí an sinh xã hội,Chi phí an sinh xã hội,102.194.778.000,98.138.236.771,102194778000.0,98138236771.0
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp phát sinh trong năm > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,104.522.112.118,60.705.780.619,104522112118.0,60705780619.0
Lợi thế thương mại,Chi phí quản lý doanh nghiệp phát sinh trong năm > Lợi thế thương mại,Lợi thế thương mại,81.022.612.583,81.177.676.785,81022612583.0,81177676785.0
Phân bổ lợi thế kinh doanh do cổ phần hóa,Chi phí quản lý doanh nghiệp phát sinh trong năm > Phân bổ lợi thế kinh doanh do cổ phần hóa,Phân bổ lợi thế kinh doanh do cổ phần hóa,-,341.217.322.506,,341217322506.0
Các khoản chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp phát sinh trong năm > Các khoản chi phí quản lý doanh nghiệp khác,Các khoản chi phí quản lý doanh nghiệp khác,500.181.550.011,567.161.344.889,500181550011.0,567161344889.0
,,,1.002.792.079.242,1.390.206.066.144,1002792079242.0,1390206066144.0
