row_label_raw,row_label_full,col_0,Giá trị ghi số31/12/2015VND,Giá trị ghi số31/12/2014(Trình bày lại)VND,numeric__Giá trị ghi số31/12/2015VND,numeric__Giá trị ghi số31/12/2014(Trình bày lại)VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,17.748.332.404.746,24.080.005.607.944,17748332404746.0,24080005607944.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,6.099.320.000.000,1.683.875.000.000,6099320000000.0,1683875000000.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,7.158.572.297.015,4.370.677.880.426,7158572297015.0,4370677880426.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,10.000.000.000,10.000.000.000,10000000000.0,10000000000.0
Tổng cộng,Tài sản tài chính > Tổng cộng,Tổng cộng,31.016.224.701.761,30.144.558.488.370,31016224701761.0,30144558488370.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay và nợ thuê tài chính,Công nợ tài chính > Các khoản vay và nợ thuê tài chính,Các khoản vay và nợ thuê tài chính,6.093.465.970.841,7.574.848.199.434,6093465970841.0,7574848199434.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,2.527.110.600.717,2.214.720.843.391,2527110600717.0,2214720843391.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,3.950.248.963.072,1.184.508.998.173,3950248963072.0,1184508998173.0
Tổng cộng,Công nợ tài chính > Tổng cộng,Tổng cộng,12.570.825.534.630,10.974.078.040.998,12570825534630.0,10974078040998.0
