row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,"Bản quyền, bằng sáng chế",Nhăn hiệu hàng hóa,Tài sản cố định vô hình khác,Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,"numeric__Bản quyền, bằng sáng chế",numeric__Nhăn hiệu hàng hóa,numeric__Tài sản cố định vô hình khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,330.814.401.892,63.343.376.972,1.464.370.376,4.288.007.246,68.800.000,399.978.956.486,330814401892.0,63343376972.0,1464370376.0,4288007246.0,68800000.0,399978956486.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,12.174.653.154,-,-,-,12.174.653.154,,12174653154.0,,,,12174653154.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,330.814.401.892,75.518.030.126,1.464.370.376,4.288.007.246,68.800.000,412.153.609.640,330814401892.0,75518030126.0,1464370376.0,4288007246.0,68800000.0,412153609640.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,4.306.230.316,36.115.536.241,729.998.257,-,68.800.000,41.220.564.814,4306230316.0,36115536241.0,729998257.0,,68800000.0,41220564814.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,845.564.309,11.956.394.441,162.707.820,-,-,12.964.666.570,845564309.0,11956394441.0,162707820.0,,,12964666570.0
Phân loại lại,GIÁ TRỊ HAO MÒN LỦY KẾ > Phân loại lại,Phân loại lại,63.376.670,(63.376.670),-,-,-,-,63376670.0,-63376670.0,,,,
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,5.215.171.295,48.008.554.012,892.706.077,-,68.800.000,54.185.231.384,5215171295.0,48008554012.0,892706077.0,,68800000.0,54185231384.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,325.599.230.597,27.509.476.114,571.664.299,4.288.007.246,-,357.968.378.256,325599230597.0,27509476114.0,571664299.0,4288007246.0,,357968378256.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,326.508.171.576,27.227.840.731,734.372.119,4.288.007.246,-,358.758.391.672,326508171576.0,27227840731.0,734372119.0,4288007246.0,,358758391672.0
