row_label_raw,row_label_full,col_0,Tăng/(Giảm)số điểm cơ bản,Ảnh hưởng đếnlợi nhuận trước thuếVND,numeric__Tăng/(Giảm)số điểm cơ bản,numeric__Ảnh hưởng đếnlợi nhuận trước thuếVND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015,,
VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > VND,VND,+200,(83.949.182.500),200.0,-83949182500.0
VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2015 > VND,VND,-200,83.949.182.500,-200.0,83949182500.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại),,
VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại) > VND,VND,+200,(65.382.451.297),200.0,-65382451297.0
VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2014 (trình bày lại) > VND,VND,-200,65.382.451.297,-200.0,65382451297.0
