row_label_raw,row_label_full,col_0,Năm 2015,Năm 2014(Trình bày lại),numeric__Năm 2015,numeric__Năm 2014(Trình bày lại)
,,,VND,VND,,
Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,Doanh thu bán hàng hóa và cung cấp dịch vụ,64.509.114.172.646,73.548.625.920.930,64509114172646.0,73548625920930.0
Doanh thu bán khí khô,Doanh thu bán khí khô,Doanh thu bán khí khô,38.974.388.343.844,40.714.934.926.267,38974388343844.0,40714934926267.0
Doanh thu bán LPG,Doanh thu bán LPG,Doanh thu bán LPG,20.071.448.777.011,26.497.355.945.204,20071448777011.0,26497355945204.0
Doanh thu vận chuyển khí,Doanh thu vận chuyển khí,Doanh thu vận chuyển khí,4.317.038.685.365,3.987.363.173.048,4317038685365.0,3987363173048.0
Doanh thu bán condensate,Doanh thu bán condensate,Doanh thu bán condensate,331.978.230.787,816.110.388.447,331978230787.0,816110388447.0
Doanh thu cho thuê tòa nhà PVGAS Tower,Doanh thu cho thuê tòa nhà PVGAS Tower,Doanh thu cho thuê tòa nhà PVGAS Tower,31.246.443.429,36.614.102.289,31246443429.0,36614102289.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,783.013.692.210,1.496.247.385.675,783013692210.0,1496247385675.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,208.910.134.361,173.479.716.511,208910134361.0,173479716511.0
Chiết khấu thương mại,Chiết khấu thương mại,Chiết khấu thương mại,208.910.134.361,173.479.716.511,208910134361.0,173479716511.0
Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,Doanh thu thuần bán hàng và cung cấp dịch vụ,64.300.204.038.285,73.375.146.204.419,64300204038285.0,73375146204419.0
Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 42),Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 42),Doanh thu phát sinh trong năm với các bên liên quan (chi tiết trình bày tại Thuyết minh số 42),15.194.472.331.486,16.036.987.406.044,15194472331486.0,16036987406044.0
