row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và các sản phẩm khí,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,
Tổng doanh thu thuần,Doanh thu > Tổng doanh thu thuần,Tổng doanh thu thuần,83.569.040.717.551,2.257.375.151.377,(12.451.269.664.509),73.375.146.204.419,83569040717551.0,2257375151377.0,-12451269664509.0,73375146204419.0
Doanh thu nội bộ,Doanh thu > Doanh thu nội bộ,Doanh thu nội bộ,12.417.684.212.001,33.585.452.508,(12.451.269.664.509),-,12417684212001.0,33585452508.0,-12451269664509.0,
Tổng doanh thu,Doanh thu > Tổng doanh thu,Tổng doanh thu,71.151.356.505.550,2.223.789.698.869,-,73.375.146.204.419,71151356505550.0,2223789698869.0,,73375146204419.0
Chi phí kinh doanh,Doanh thu > Chi phí kinh doanh,Chi phí kinh doanh,66.268.234.849.212,1.789.672.065.601,(12.023.740.388.341),56.034.166.526.472,66268234849212.0,1789672065601.0,-12023740388341.0,56034166526472.0
- Giá vốn hàng bán,Doanh thu > - Giá vốn hàng bán,- Giá vốn hàng bán,63.570.961.868.053,1.693.765.736.778,(12.033.070.210.269),53.231.657.394.562,63570961868053.0,1693765736778.0,-12033070210269.0,53231657394562.0
- Chi phí bán hàng,Doanh thu > - Chi phí bán hàng,- Chi phí bán hàng,1.472.313.915.770,-,(60.010.850.004),1.412.303.065.766,1472313915770.0,,-60010850004.0,1412303065766.0
- Chi phí quản lý doanh nghiệp,Doanh thu > - Chi phí quản lý doanh nghiệp,- Chi phí quản lý doanh nghiệp,1.224.959.065.389,95.906.328.823,69.340.671.932,1.390.206.066.144,1224959065389.0,95906328823.0,69340671932.0,1390206066144.0
Kết quả hoạt động kinh doanh,Doanh thu > Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,17.300.805.868.339,467.703.085.776,(427.529.276.168),17.340.979.677.947,17300805868339.0,467703085776.0,-427529276168.0,17340979677947.0
Phần lợi nhuận trong các công ty liên kết,Doanh thu > Phần lợi nhuận trong các công ty liên kết,Phần lợi nhuận trong các công ty liên kết,,,,3.497.901.222,,,,3497901222.0
Doanh thu hoạt động tài chính,Doanh thu > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,1.168.755.042.079,,,,1168755042079.0
Chi phí tài chính,Doanh thu > Chi phí tài chính,Chi phí tài chính,,,,521.986.522.712,,,,521986522712.0
(Lỗ) khác,Doanh thu > (Lỗ) khác,(Lỗ) khác,,,,(11.915.215.365),,,,-11915215365.0
Lợi nhuận trước thuế thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận trước thuế thuế thu nhập doanh nghiệp,Lợi nhuận trước thuế thuế thu nhập doanh nghiệp,,,,17.979.330.883.171,,,,17979330883171.0
Chi phí thuế thu nhập doanh nghiệp hiện hành,Doanh thu > Chi phí thuế thu nhập doanh nghiệp hiện hành,Chi phí thuế thu nhập doanh nghiệp hiện hành,,,,3.650.242.219.392,,,,3650242219392.0
Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Doanh thu > Thu nhập thuế thu nhập doanh nghiệp hoãn lại,Thu nhập thuế thu nhập doanh nghiệp hoãn lại,,,,(31.736.519.851),,,,-31736519851.0
Lợi nhuận sau thuế thu nhập doanh nghiệp,Doanh thu > Lợi nhuận sau thuế thu nhập doanh nghiệp,Lợi nhuận sau thuế thu nhập doanh nghiệp,,,,14.360.825.183.630,,,,14360825183630.0
