row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,
Dự thu doanh thu kinh doanh khí tháng 11 và tháng 12 năm 2015,a) Ngắn hạn > Dự thu doanh thu kinh doanh khí tháng 11 và tháng 12 năm 2015,Dự thu doanh thu kinh doanh khí tháng 11 và tháng 12 năm 2015,3.659.715.842.656,-,3659715842656.0,
Lãi dự thu tiền gửi có kỳ hạn,a) Ngắn hạn > Lãi dự thu tiền gửi có kỳ hạn,Lãi dự thu tiền gửi có kỳ hạn,125.622.985.289,100.951.112.102,125622985289.0,100951112102.0
Phải thu về thoái vốn cổ phiếu Seabank,a) Ngắn hạn > Phải thu về thoái vốn cổ phiếu Seabank,Phải thu về thoái vốn cổ phiếu Seabank,83.638.401.486,-,83638401486.0,
Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B Ô Môn,a) Ngắn hạn > Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B Ô Môn,Khoản góp vốn theo hợp đồng hợp tác liên doanh thực hiện xây dựng đường ống Lô B Ô Môn,54.356.678.856,54.190.675.035,54356678856.0,54190675035.0
Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,a) Ngắn hạn > Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,Phải thu Công ty Cổ phần Phát triển Đô thị Dầu khí liên quan đến hợp đồng xây dựng khu văn phòng cho thuê tại Bạc Liêu,50.000.000.000,50.000.000.000,50000000000.0,50000000000.0
"Ký cược, ký quỹ ngắn hạn","a) Ngắn hạn > Ký cược, ký quỹ ngắn hạn","Ký cược, ký quỹ ngắn hạn",48.899.893.934,85.406.136.755,48899893934.0,85406136755.0
Phải thu về tạm ứng,a) Ngắn hạn > Phải thu về tạm ứng,Phải thu về tạm ứng,16.365.732.481,13.805.329.919,16365732481.0,13805329919.0
Công ty Cổ phần Địa Óc Phú Long,a) Ngắn hạn > Công ty Cổ phần Địa Óc Phú Long,Công ty Cổ phần Địa Óc Phú Long,13.843.599.844,13.843.599.844,13843599844.0,13843599844.0
Dự thu doanh thu vận chuyển Condensate tháng 11 và tháng 12 năm 2015,a) Ngắn hạn > Dự thu doanh thu vận chuyển Condensate tháng 11 và tháng 12 năm 2015,Dự thu doanh thu vận chuyển Condensate tháng 11 và tháng 12 năm 2015,5.333.528.742,-,5333528742.0,
Các khoản phải thu khác,a) Ngắn hạn > Các khoản phải thu khác,Các khoản phải thu khác,6.443.902.722,37.893.197.402,6443902722.0,37893197402.0
,,,4.064.220.566.010,356.090.051.057,4064220566010.0,356090051057.0
b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,,
"Ký quỹ, ký cược","b) Dài hạn > Ký quỹ, ký cược","Ký quỹ, ký cược",22.782.850.117,25.490.795.105,22782850117.0,25490795105.0
,,,22.782.850.117,25.490.795.105,22782850117.0,25490795105.0
Phải thu khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 42),b) Dài hạn > Phải thu khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 42),Phải thu khác các bên liên quan(chỉ tiết trình bày tại Thuyết minh số 42),980.053.021.177,50.000.000.000,980053021177.0,50000000000.0
