row_label_raw,row_label_full,01,73.648.493.789.444,1. Doanh thu bán hàng và cung cấp dịch vụ,numeric__73.648.493.789.444,numeric__1. Doanh thu bán hàng và cung cấp dịch vụ
02,02,02,255.090.755.356,2. Các khoản giảm trừ doanh thu,255090755356.0,
11,11,11,53.244.879.134.499,3. Giá vốn hàng bán và dịch vụ cung cấp,53244879134499.0,
21,21,21,1.170.291.811.786,4. Doanh thu hoạt động tài chính,1170291811786.0,
22,22,22,523.523.292.419,5. Chi phí tài chính,523523292419.0,
25,25,25,1.383.706.108.379,6. Chi phí quản lý doanh nghiệp,1383706108379.0,
31,31,31,39.917.554.994,7. Thu nhập khác,39917554994.0,
32,32,32,51.832.770.359,8. Chi phí khác,51832770359.0,
51,51,51,3.652.779.929.841,9. Chi phí thuế thu nhập doanh nghiệp hiện hành,3652779929841.0,
60,60,60,14.369.822.520.678,10. Lợi nhuận sau thuế thu nhập doanh nghiệp,14369822520678.0,
61,61,61,14.122.675.507.937,11. Lợi nhuận sau thuế của cổ đông của Công ty mẹ,14122675507937.0,
70,70,70,7.140,12. Lãi cơ bản trên cổ phiếu,7140.0,
