row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu VND,Thặng dư vốn cổ phần VND,Vốn khác của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ dự phòng tài chính VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn đầu tư của chủ sở hữu VND,numeric__Thặng dư vốn cổ phần VND,numeric__Vốn khác của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ dự phòng tài chính VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,Số dư tại ngày 01/01/2014,18.950.000.000.000,1.216.727.266,33.010.841.083,-,8.519.430.938.822,2.683.834.433.528,134.944.997.553,3.035.598.071.141,1.675.288.127.440,35.033.324.136.833,18950000000000.0,1216727266.0,33010841083.0,,8519430938822.0,2683834433528.0,134944997553.0,3035598071141.0,1675288127440.0,35033324136833.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,-,-,14.113.678.170.890,247.147.012.741,14.360.825.183.631,,,,,,,,14113678170890.0,247147012741.0,14360825183631.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,749.416.958.570,1.380.255.747.296,-,(2.129.672.705.866),-,-,,,,,749416958570.0,1380255747296.0,,-2129672705866.0,,
Bổ sung vốn chủ sở hữu,Bổ sung vốn chủ sở hữu,Bổ sung vốn chủ sở hữu,-,-,27.780.143.498,-,(27.780.143.498),-,-,-,57.557.035.800,57.557.035.800,,,27780143498.0,,-27780143498.0,,,,57557035800.0,57557035800.0
Điều chính theo Nghị quyết ĐHDCD năm 2014,Điều chính theo Nghị quyết ĐHDCD năm 2014,Điều chính theo Nghị quyết ĐHDCD năm 2014,-,-,-,-,(1.612.672.193.928),-,-,1.612.672.193.928,-,-,,,,,-1612672193928.0,,,1612672193928.0,,
"Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi","Trích Quỹ khen thưởng, phúc lợi",-,-,-,-,-,-,-,(477.734.814.167),(44.867.623.157),(522.602.437.324),,,,,,,,-477734814167.0,-44867623157.0,-522602437324.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,-,-,(10.422.500.000.000),(167.613.527.477),(10.590.113.527.477),,,,,,,,-10422500000000.0,-167613527477.0,-10590113527477.0
Thoái vốn tại công ty con,Thoái vốn tại công ty con,Thoái vốn tại công ty con,-,-,-,-,-,-,-,-,(53.226.612.203),(53.226.612.203),,,,,,,,,-53226612203.0,-53226612203.0
Quyết toán lượng khí trên bao tiểu nộp về Tập đoàn,Quyết toán lượng khí trên bao tiểu nộp về Tập đoàn,Quyết toán lượng khí trên bao tiểu nộp về Tập đoàn,-,-,-,-,-,-,-,(582.827.540.832),-,(582.827.540.832),,,,,,,,-582827540832.0,,-582827540832.0
Thay đổi khác,Thay đổi khác,Thay đổi khác,-,-,(1.341.156.597),-,72.480.251,(916.572.251),-,(5.061.647.694),(16.340.781.536),(23.587.677.827),,,-1341156597.0,,72480251.0,-916572251.0,,-5061647694.0,-16340781536.0,-23587677827.0
