row_label_raw,row_label_full,col_0,31/12/2015,31/12/2014(Trình bày lại),numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
,,,VND,VND,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Dự phòng bảo hành công trình,Ngắn hạn > Dự phòng bảo hành công trình,Dự phòng bảo hành công trình,44.545.513.837,46.738.023.905,44545513837.0,46738023905.0
Dự phòng sửa chữa công trình khí,Ngắn hạn > Dự phòng sửa chữa công trình khí,Dự phòng sửa chữa công trình khí,-,51.976.730.257,,51976730257.0
Dự phòng khác,Ngắn hạn > Dự phòng khác,Dự phòng khác,9.080.916.000,380.268.000,9080916000.0,380268000.0
,,,53.626.429.837,99.095.022.162,53626429837.0,99095022162.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Dự phòng bảo hành công trình,Dài hạn > Dự phòng bảo hành công trình,Dự phòng bảo hành công trình,48.658.881.517,60.130.275.754,48658881517.0,60130275754.0
Dự phòng sửa chữa công trình khí,Dài hạn > Dự phòng sửa chữa công trình khí,Dự phòng sửa chữa công trình khí,-,273.859.067.452,,273859067452.0
Dự phòng khác,Dài hạn > Dự phòng khác,Dự phòng khác,379.448.228,399.083.255,379448228.0,399083255.0
,,,49.038.329.745,334.388.426.461,49038329745.0,334388426461.0
