row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2015,31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__31/12/2014(Trình bày lại)
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,13.825.543.405.185,16.112.058.787.504,300.0,,13825543405185.0,16112058787504.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,9.002.416.525.380,10.420.030.585.116,310.0,,9002416525380.0,10420030585116.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,20,1.873.430.985.918,1.782.284.125.251,311.0,20.0,1873430985918.0,1782284125251.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,,71.776.566.945,123.166.550.322,312.0,,71776566945.0,123166550322.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,21,379.728.946.381,1.571.798.803.751,313.0,21.0,379728946381.0,1571798803751.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,191.297.256.581,153.146.072.621,314.0,,191297256581.0,153146072621.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,22,3.950.248.963.072,1.184.508.998.173,315.0,22.0,3950248963072.0,1184508998173.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,,23.260.584.852,35.424.063.091,318.0,,23260584852.0,35424063091.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,23,670.474.641.698,2.738.873.632.524,319.0,23.0,670474641698.0,2738873632524.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,25,1.589.777.540.020,2.443.227.901.530,320.0,25.0,1589777540020.0,2443227901530.0
9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,9. Dự phòng phải trả ngắn hạn,321,24,53.626.429.837,99.095.022.162,321.0,24.0,53626429837.0,99095022162.0
"10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi","10. Quỹ khen thưởng, phúc lợi",322,,198.794.610.076,288.505.415.691,322.0,,198794610076.0,288505415691.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,4.823.126.879.805,5.692.028.202.388,330.0,,4823126879805.0,5692028202388.0
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,23,194.119.770.764,194.663.433.474,337.0,23.0,194119770764.0,194663433474.0
2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,2. Vay và nợ thuê tài chính dài hạn,338,25,4.503.688.430.821,5.131.620.297.904,338.0,25.0,4503688430821.0,5131620297904.0
