row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiện vận tảivà thiết bị truyền dẫn,Thiết bịvăn phòng,Tài sảncố định khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiện vận tảivà thiết bị truyền dẫn,numeric__Thiết bịvăn phòng,numeric__Tài sảncố định khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,5.732.720.846.077,3.965.765.461.567,674.273.983.425,151.898.120.054,24.491.289.894.570,35.015.948.305.693,5732720846077.0,3965765461567.0,674273983425.0,151898120054.0,24491289894570.0,35015948305693.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,212.408.189.336,529.482.621.329,91.917.306.221,875.000.000,1.614.028.073.640,2.448.711.190.526,212408189336.0,529482621329.0,91917306221.0,875000000.0,1614028073640.0,2448711190526.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,9.691.675.902,61.833.457.186,2.007.367.818,94.780.458.875,9.948.639.993,178.261.599.774,9691675902.0,61833457186.0,2007367818.0,94780458875.0,9948639993.0,178261599774.0
Chuyển sang từ Tài sản thuê tài chính,NGUYÊN GIÁ > Chuyển sang từ Tài sản thuê tài chính,Chuyển sang từ Tài sản thuê tài chính,-,47.933.998.993,-,-,-,47.933.998.993,,47933998993.0,,,,47933998993.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.533.304.784),-,(3.551.262.715),(5.518.773.159),-,(16.603.340.658),-7533304784.0,,-3551262715.0,-5518773159.0,,-16603340658.0
Điều chỉnh theo quyết toán,NGUYÊN GIÁ > Điều chỉnh theo quyết toán,Điều chỉnh theo quyết toán,(1.288.247.334),-,-,-,(2.335.910.110),(3.624.157.444),-1288247334.0,,,,-2335910110.0,-3624157444.0
Phân loại lại,NGUYÊN GIÁ > Phân loại lại,Phân loại lại,3.764.635.114,298.222.503.888,-,-,(301.987.139.002),-,3764635114.0,298222503888.0,,,-301987139002.0,
Tăng/Giảm khác,NGUYÊN GIÁ > Tăng/Giảm khác,Tăng/Giảm khác,(3.508.880.374),3.326.186.580,19.715.000,59.175.629,10.492.913.327,10.389.110.162,-3508880374.0,3326186580.0,19715000.0,59175629.0,10492913327.0,10389110162.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,5.946.254.913.937,4.906.564.229.543,764.667.109.749,242.093.981.399,25.821.436.472.418,37.681.016.707.046,5946254913937.0,4906564229543.0,764667109749.0,242093981399.0,25821436472418.0,37681016707046.0
