row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn ngắn hạn,31/12/2015 > Giá gốcVND,31/12/2015 > Giá trị ghi sốVND,31/12/2015 > Giá trị ghi sốVND_1,31/12/2014 > Giá gốcVND,31/12/2014 > Giá trị ghi sốVND,31/12/2014 > Giá trị ghi sốVND_1,numeric__31/12/2015 > Giá gốcVND,numeric__31/12/2015 > Giá trị ghi sốVND,numeric__31/12/2015 > Giá trị ghi sốVND_1,numeric__31/12/2014 > Giá gốcVND,numeric__31/12/2014 > Giá trị ghi sốVND,numeric__31/12/2014 > Giá trị ghi sốVND_1
- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,6.099.320.000.000,6.099.320.000.000,6.099.320.000.000,1.340.000.000.000,1.340.000.000.000,1.340.000.000.000,6099320000000.0,6099320000000.0,6099320000000.0,1340000000000.0,1340000000000.0,1340000000000.0
- Các khoản nằm giữ đến ngày đáo hạn khác,- Các khoản nằm giữ đến ngày đáo hạn khác,- Các khoản nằm giữ đến ngày đáo hạn khác,-,-,-,356.600.283.780,343.875.000.000,343.875.000.000,,,,356600283780.0,343875000000.0,343875000000.0
,,,6.099.320.000.000,6.099.320.000.000,6.099.320.000.000,1.696.600.283.780,1.683.875.000.000,1.683.875.000.000,6099320000000.0,6099320000000.0,6099320000000.0,1696600283780.0,1683875000000.0,1683875000000.0
,,,31/12/2015,31/12/2015,31/12/2015,31/12/2014,31/12/2014,31/12/2014,,,,,,
,,,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,Giá gốcVND,Giá trị theo phương pháp vốn chủ sở hữuVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,Đầu tư vào Công ty liên kết,,,,,,,,,,,,
Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Đầu tư vào Công ty liên kết > Công ty Cổ phần Đầu tư Phát triển Gas đô thị,Công ty Cổ phần Đầu tư Phát triển Gas đô thị,48.240.000.000,75.741.527.821,33.500.000.000,48.240.000.000,77.201.169.122,42.880.000.000,48240000000.0,75741527821.0,33500000000.0,48240000000.0,77201169122.0,42880000000.0
,,,31/12/2015,31/12/2015,31/12/2015,31/12/2014,31/12/2014,31/12/2014,,,,,,
,,,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,Giá gốcVND,Dự phòngVND,Giá trị hợp lýVND,,,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,,,,,,,,,,,
Công ty Cổ phần Năng lượng Vinabenny,Đầu tư vào đơn vị khác > Công ty Cổ phần Năng lượng Vinabenny,Công ty Cổ phần Năng lượng Vinabenny,50.000.000.000,(50.000.000.000),-,50.000.000.000,(50.000.000.000),-,50000000000.0,-50000000000.0,,50000000000.0,-50000000000.0,
Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,Đầu tư vào đơn vị khác > Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,Công ty Cổ phần Đầu tư và Kinh doanh Tài sản Việt Nam,25.000.000.000,(25.000.000.000),-,25.000.000.000,(25.000.000.000),-,25000000000.0,-25000000000.0,,25000000000.0,-25000000000.0,
Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Đầu tư vào đơn vị khác > Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,Công ty Cổ phần Xăng dầu Dầu khí Vũng Áng,10.000.000.000,-,10.000.000.000,10.000.000.000,-,10.000.000.000,10000000000.0,,10000000000.0,10000000000.0,,10000000000.0
,,,85.000.000.000,(75.000.000.000),10.000.000.000,85.000.000.000,(75.000.000.000),10.000.000.000,85000000000.0,-75000000000.0,10000000000.0,85000000000.0,-75000000000.0,10000000000.0
