row_label_raw,row_label_full,col_0,Dự phòng giảm giá đầu tư vào công ty con VND,numeric__Dự phòng giảm giá đầu tư vào công ty con VND
Tại ngày 01/01/2015,Tại ngày 01/01/2015,Tại ngày 01/01/2015,-,
Hồi tố số liệu năm 2014,Tại ngày 01/01/2015 > Hồi tố số liệu năm 2014,Hồi tố số liệu năm 2014,46.669.749.673,46669749673.0
Ghi nhận trong năm,Tại ngày 01/01/2015 > Ghi nhận trong năm,Ghi nhận trong năm,(1.745.445.747),-1745445747.0
Tại ngày 31/12/2015,Tại ngày 01/01/2015 > Tại ngày 31/12/2015,Tại ngày 31/12/2015,44.924.303.926,44924303926.0
