row_label_raw,row_label_full,col_0,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,24.1,15.885.997.437,5.653.543.770,241.0,15885997437.0,5653543770.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,24.2,-,5.400.000.000,242.0,,5400000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,15.885.997.437,11.053.543.770,,15885997437.0,11053543770.0
