row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2019 > Giá gốc VND,Ngày 31 tháng 12 năm 2019 > Giá trị ghi số VND,Ngày 31 tháng 12 năm 2018 > Giá gốc VND,Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2019 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2019 > Giá trị ghi số VND,numeric__Ngày 31 tháng 12 năm 2018 > Giá gốc VND,numeric__Ngày 31 tháng 12 năm 2018 > Giá trị ghi số VND
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (*),Ngắn hạn > Tiền gửi (*),Tiền gửi (*),746.000.000.000,582.000.000.000,762.500.000.000,598.500.000.000,746000000000.0,582000000000.0,762500000000.0,598500000000.0
Trái phiếu (**),Ngắn hạn > Trái phiếu (**),Trái phiếu (**),354.709.500.000,200.000.000.000,154.709.500.000,18.941.900.000,354709500000.0,200000000000.0,154709500000.0,18941900000.0
Trái phiếu doanh nghiệp,Ngắn hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,354.709.500.000,200.000.000.000,154.709.500.000,18.941.900.000,354709500000.0,200000000000.0,154709500000.0,18941900000.0
,,,1.100.709.500.000,782.000.000.000,917.209.500.000,617.441.900.000,1100709500000.0,782000000000.0,917209500000.0,617441900000.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (***),Dài hạn > Tiền gửi (***),Tiền gửi (***),1.020.000.000.000,1.020.000.000.000,88.000.000.000,88.000.000.000,1020000000000.0,1020000000000.0,88000000000.0,88000000000.0
Trái phiếu (**),Dài hạn > Trái phiếu (**),Trái phiếu (**),859.055.932.773,859.055.932.773,1.259.530.325.330,1.259.530.325.330,859055932773.0,859055932773.0,1259530325330.0,1259530325330.0
Trái phiếu Chính phủ,Dài hạn > Trái phiếu Chính phủ,Trái phiếu Chính phủ,-,-,200.989.338.309,200.989.338.309,,,200989338309.0,200989338309.0
Trái phiếu doanh nghiệp,Dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,859.055.932.773,859.055.932.773,1.058.540.987.021,1.058.540.987.021,859055932773.0,859055932773.0,1058540987021.0,1058540987021.0
,,,1.879.055.932.773,1.879.055.932.773,1.347.530.325.330,1.347.530.325.330,1879055932773.0,1879055932773.0,1347530325330.0,1347530325330.0
,,,2.979.765.432.773,2.661.055.932.773,2.264.739.825.330,1.964.972.225.330,2979765432773.0,2661055932773.0,2264739825330.0,1964972225330.0
