row_label_raw,row_label_full,Bên liên quan,Phải thu/(phải trả),Ngày 31 tháng12 năm 2019VND,Ngày 31 tháng 12năm 2018VND,numeric__Phải thu/(phải trả),numeric__Ngày 31 tháng12 năm 2019VND,numeric__Ngày 31 tháng 12năm 2018VND
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,"Phải trả tiền đặt cọc thuê văn phòng, trả trước tiền thuê văn phòng",(317.371.824),(317.371.824),,-317371824.0,-317371824.0
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu về lợi nhuận,654.629.358.389,777.100.000.000,,654629358389.0,777100000000.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu chi phí CNTT,2.397.974.800,23.785.177.225,,2397974800.0,23785177225.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải thu từ phân bổ chi phí (Phải trả)/phải thu chi phí dự án OSS,3.619.346.726,3.906.871.709,,3619346726.0,3906871709.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải trả khoản An sinh xã hội,(123.624.292),87.012.731,,-123624292.0,87012731.0
Bảo Việt Nhân thọ,Công ty con > Bảo Việt Nhân thọ,Bảo Việt Nhân thọ,Phải trả khoản An sinh xã hội,(460.123.158),(5.483.992.367),,-460123158.0,-5483992367.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu về lợi nhuận,61.217.196.023,571.797.302,,61217196023.0,571797302.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu chi phí CNTT,1.456.121.420,19.429.726.898,,1456121420.0,19429726898.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Phải thu từ phân bổ chi phí (Phải trả)/phải thu khoản An sinh xã hội,3.619.346.726,3.906.871.709,,3619346726.0,3906871709.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,(Phải trả)/phải thu chi phí dự án OSS,(2.076.073.895),5.468.912.180,,-2076073895.0,5468912180.0
Bảo hiểm Bảo Việt,Công ty con > Bảo hiểm Bảo Việt,Bảo hiểm Bảo Việt,Các khoản phải trả,(123.624.292),87.012.731,,-123624292.0,87012731.0
