row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2019 VND,Ngày 31 tháng 12 năm 2018 VND,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2019 VND,numeric__Ngày 31 tháng 12 năm 2018 VND
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,6.1,,,61.0,,
Cổ phiếu niêm yết,Cổ phiếu niêm yết,Cổ phiếu niêm yết,,10.334.361.164,283.823.786.325,,10334361164.0,283823786325.0
Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,,-,343.292.054.000,,,343292054000.0
Chứng chỉ quỹ,Chứng chỉ quỹ,Chứng chỉ quỹ,,45.000.000.000,45.000.000.000,,45000000000.0,45000000000.0
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,,(1.986.021.164),(155.427.606.024),,-1986021164.0,-155427606024.0
,,,,53.348.340.000,516.688.234.301,,53348340000.0,516688234301.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,6.2,,,62.0,,
Ngắn hạn,Ngắn hạn,Ngắn hạn,,782.000.000.000,617.441.900.000,,782000000000.0,617441900000.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,582.000.000.000,598.500.000.000,,582000000000.0,598500000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,200.000.000.000,18.941.900.000,,200000000000.0,18941900000.0
Dài hạn,Dài hạn,Dài hạn,,1.879.055.932.773,1.347.530.325.330,,1879055932773.0,1347530325330.0
- Tiến gửi,- Tiến gửi,- Tiến gửi,,1.020.000.000.000,88.000.000.000,,1020000000000.0,88000000000.0
- Trái phiếu,- Trái phiếu,- Trái phiếu,,859.055.932.773,1.259.530.325.330,,859055932773.0,1259530325330.0
,,,,2.661.055.932.773,1.964.972.225.330,,2661055932773.0,1964972225330.0
Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,Đầu tư tài chính dài hạn khác,6.3,,,63.0,,
Đầu tư vào công ty con và BVIF,Đầu tư vào công ty con và BVIF,Đầu tư vào công ty con và BVIF,,8.502.286.148.720,7.052.286.148.720,,8502286148720.0,7052286148720.0
"Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết","Đầu tư vào công ty liên doanh, liên kết",,2.138.200.000.000,2.153.200.000.000,,2138200000000.0,2153200000000.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,,616.781.114.000,-,,616781114000.0,
Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,Dự phòng đầu tư tài chính dài hạn khác,,(186.994.966.564),-,,-186994966564.0,
,,,,11.070.272.296.156,9.205.486.148.720,,11070272296156.0,9205486148720.0
Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,Giá trị thuần các khoản đầu tư tài chính,,13.784.676.568.929,11.687.146.608.351,,13784676568929.0,11687146608351.0
