row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2019VND,Ngày 31 tháng 12năm 2018VND,numeric__Ngày 31 tháng 12năm 2019VND,numeric__Ngày 31 tháng 12năm 2018VND
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,
Dự thu lãi tiền gửi,Phải thu > Dự thu lãi tiền gửi,Dự thu lãi tiền gửi,16.618.038.348,8.411.523.289,16618038348.0,8411523289.0
Dự thu lãi trái phiếu,Phải thu > Dự thu lãi trái phiếu,Dự thu lãi trái phiếu,21.793.489.356,38.353.432.278,21793489356.0,38353432278.0
"Dự thu cổ tức, lợi nhuận được chia","Phải thu > Dự thu cổ tức, lợi nhuận được chia","Dự thu cổ tức, lợi nhuận được chia",749.050.518.249,867.418.632.402,749050518249.0,867418632402.0
Lợi nhuận từ Bảo Việt Nhân thọ,Phải thu > Lợi nhuận từ Bảo Việt Nhân thọ,Lợi nhuận từ Bảo Việt Nhân thọ,654.629.358.389,777.100.000.000,654629358389.0,777100000000.0
Lợi nhuận từ Bảo hiểm Bảo Việt,Phải thu > Lợi nhuận từ Bảo hiểm Bảo Việt,Lợi nhuận từ Bảo hiểm Bảo Việt,61.217.196.023,571.797.302,61217196023.0,571797302.0
Lợi nhuận từ BVF,Phải thu > Lợi nhuận từ BVF,Lợi nhuận từ BVF,13.778.237.429,16.400.000.000,13778237429.0,16400000000.0
Lợi nhuận từ BVInvest,Phải thu > Lợi nhuận từ BVInvest,Lợi nhuận từ BVInvest,19.425.726.408,-,19425726408.0,
Cổ tức từ BVSC,Phải thu > Cổ tức từ BVSC,Cổ tức từ BVSC,-,30.296.835.100,,30296835100.0
Cổ tức từ BVIF,Phải thu > Cổ tức từ BVIF,Cổ tức từ BVIF,-,21.000.000.000,,21000000000.0
Cổ tức từ BVTM,Phải thu > Cổ tức từ BVTM,Cổ tức từ BVTM,-,22.050.000.000,,22050000000.0
,,,787.462.045.953,914.183.587.969,787462045953.0,914183587969.0
