row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Nguyên giá VND,Giá trị ghi sổ > Dự phòng giảm giá trị VND,Giá trị ghi sổ > Giá trị thuần VND,Giá trị hợp lý > VND,numeric__Giá trị ghi sổ > Nguyên giá VND,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị VND,numeric__Giá trị ghi sổ > Giá trị thuần VND,numeric__Giá trị hợp lý > VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,672.115.840.325,(155.427.606.024),516.688.234.301,691.900.309.343,672115840325.0,-155427606024.0,516688234301.0,691900309343.0
- Cổ phiếu niêm yết,Tài sản tài chính > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,283.823.786.325,(112.292.601.164),171.531.185.161,387.868.047.750,283823786325.0,-112292601164.0,171531185161.0,387868047750.0
- Cổ phiếu chưa niêm yết,Tài sản tài chính > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,343.292.054.000,(43.135.004.860),300.157.049.140,247.305.261.593,343292054000.0,-43135004860.0,300157049140.0,247305261593.0
- Chứng chỉ quỹ,Tài sản tài chính > - Chứng chỉ quỹ,- Chứng chỉ quỹ,45.000.000.000,-,45.000.000.000,56.727.000.000,45000000000.0,,45000000000.0,56727000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Tài sản tài chính > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,2.311.398.698.706,(299.767.600.000),2.011.631.098.706,2.059.223.956.045,2311398698706.0,-299767600000.0,2011631098706.0,2059223956045.0
- Hợp đồng tiền gửi,Tài sản tài chính > - Hợp đồng tiền gửi,- Hợp đồng tiền gửi,858.805.441.098,(164.000.000.000),694.805.441.098,699.938.828.760,858805441098.0,-164000000000.0,694805441098.0,699938828760.0
- Trái phiếu,Tài sản tài chính > - Trái phiếu,- Trái phiếu,1.452.593.257.608,(135.767.600.000),1.316.825.657.608,1.359.285.127.285,1452593257608.0,-135767600000.0,1316825657608.0,1359285127285.0
Các khoản phải thu,Tài sản tài chính > Các khoản phải thu,Các khoản phải thu,931.367.356.630,-,931.367.356.630,931.367.356.630,931367356630.0,,931367356630.0,931367356630.0
- Phải thu cổ tức và lợi nhuận,Tài sản tài chính > - Phải thu cổ tức và lợi nhuận,- Phải thu cổ tức và lợi nhuận,867.418.632.402,-,867.418.632.402,867.418.632.402,867418632402.0,,867418632402.0,867418632402.0
- Phải thu khác,Tài sản tài chính > - Phải thu khác,- Phải thu khác,63.948.724.228,-,63.948.724.228,63.948.724.228,63948724228.0,,63948724228.0,63948724228.0
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,48.041.832.242,-,48.041.832.242,48.041.832.242,48041832242.0,,48041832242.0,48041832242.0
TỔNG CỘNG,Tài sản tài chính > TỔNG CỘNG,TỔNG CỘNG,3.962.923.727.903,(455.195.206.024),3.507.728.521.879,3.730.533.454.260,3962923727903.0,-455195206024.0,3507728521879.0,3730533454260.0
