row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018
01,01,01,1. Doanh thu hoạt động kinh doanh,21,1.561.636.708.767,1.508.072.748.753,,21.0,1561636708767.0,1508072748753.0
11,11,11,2. Chi phí hoạt động kinh doanh,22,(257.213.033.885),(235.315.388.773),,22.0,-257213033885.0,-235315388773.0
20,20,20,3. Lợi nhuận gộp từ hoạt động kinh doanh,,1.304.423.674.882,1.272.757.359.980,,,1304423674882.0,1272757359980.0
26,26,26,4. Chi phí quản lý doanh nghiệp,23,(204.889.267.571),(209.822.581.737),,23.0,-204889267571.0,-209822581737.0
30,30,30,5. Lợi nhuận thuần từ hoạt động kinh doanh,,1.099.534.407.311,1.062.934.778.243,,,1099534407311.0,1062934778243.0
31,31,31,6. Thu nhập khác,,859.954.758,349.288.308,,,859954758.0,349288308.0
32,32,32,7. Chi phí khác,,(191.414.087),(363.889.445),,,-191414087.0,-363889445.0
40,40,40,8. Lợi nhuận/(lỗ) khác,,668.540.671,(14.601.137),,,668540671.0,-14601137.0
50,50,50,9. Tổng lợi nhuận trước thuế,,1.100.202.947.982,1.062.920.177.106,,,1100202947982.0,1062920177106.0
51,51,51,10. Chi phí thuế TNDN hiện hành,24.1,(15.885.997.437),(5.653.543.770),,241.0,-15885997437.0,-5653543770.0
52,52,52,11. Chi phí thuế TNDN hoãn lại,24.2,-,(5.400.000.000),,242.0,,-5400000000.0
60,60,60,12. Lợi nhuận sau thuế thu nhập doanh nghiệp,,1.084.316.950.545,1.051.866.633.336,,,1084316950545.0,1051866633336.0
