row_label_raw,row_label_full,Vốn điều lệ:,7.423.227.640.000 VND,numeric__7.423.227.640.000 VND
Số cổ phần đã đăng ký:,Số cổ phần đã đăng ký:,Số cổ phần đã đăng ký:,742.322.764 cổ phần,
Người đại diện theo pháp luật:,Người đại diện theo pháp luật:,Người đại diện theo pháp luật:,Ông Đỗ Trường Minh - Tổng Giám đốc,
