row_label_raw,row_label_full,Các bên liên quan,Giao dịch,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND,numeric__Giao dịch,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 VND
Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,Cổ đông sáng lập,,,
Bộ Tài chính,Cổ đông sáng lập > Bộ Tài chính,Bộ Tài chính,Cổ tức đã trả,(482.509.800.000),(482.509.800.000),,-482509800000.0,-482509800000.0
SCIC,Cổ đông sáng lập > SCIC,SCIC,Cổ tức đã trả,(22.154.400.000),(22.154.400.000),,-22154400000.0,-22154400000.0
Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,Cổ đông chiến lược,,,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Tiền mua cổ phiếu phát hành riêng lẻ để tăng vốn điều lệ,4.011.741.161.610,-,,4011741161610.0,
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Cổ tức đã trả,(122.509.091.000),(122.509.091.000),,-122509091000.0,-122509091000.0
Sumitomo Life,Cổ đông chiến lược > Sumitomo Life,Sumitomo Life,Doanh thu cho thuê văn phòng,577.039.680,577.039.680,,577039680.0,577039680.0
"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,
Bảo Việt Bank,"Công ty liên doanh, liên kết > Bảo Việt Bank",Bảo Việt Bank,Cổ tức được chia,-,46.800.000.000,,,46800000000.0
Bảo Việt Bank,Bảo Việt Bank,Bảo Việt Bank,Doanh thu dịch vụ,,,,,
Bảo Việt Bank,Bảo Việt Bank > Bảo Việt Bank,Bảo Việt Bank,CNTT,3.508.950.418,3.695.237.047,,3508950418.0,3695237047.0
Bảo Việt Bank,Bảo Việt Bank > Bảo Việt Bank,Bảo Việt Bank,Doanh thu lãi tiền gửi,9.293.403.441,7.796.947.840,,9293403441.0,7796947840.0
Bảo Việt Bank,Bảo Việt Bank > Bảo Việt Bank,Bảo Việt Bank,Doanh thu lãi trái phiếu,68.850.000.005,68.850.000.005,,68850000005.0,68850000005.0
Bảo Việt Bank,Bảo Việt Bank > Bảo Việt Bank,Bảo Việt Bank,Doanh thu cho thuê văn phòng và phí giữ xe,470.600.755,252.219.380,,470600755.0,252219380.0
Bảo Việt Tokio Marine,Bảo Việt Bank > Bảo Việt Tokio Marine,Bảo Việt Tokio Marine,Cổ tức đã nhận,21.600.874.075,60.875.250.192,,21600874075.0,60875250192.0
VIGEBA,Bảo Việt Bank > VIGEBA,VIGEBA,Cổ tức đã nhận,-,750.000.000,,,750000000.0
Bảo Việt Resort,Bảo Việt Bank > Bảo Việt Resort,Bảo Việt Resort,Cổ tức ưu đãi được chia,-,1.668.528.370,,,1668528370.0
