row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Thặng dư vốn cố phân VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Thặng dư vốn cố phân VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,,
Ngày 31 tháng 12 năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ngày 31 tháng 12 năm 2017,Ngày 31 tháng 12 năm 2017,6.804.714.340.000,3.184.332.381.197,415.756.066.988,2.035.140.696.557,12.439.943.484.742,6804714340000.0,3184332381197.0,415756066988.0,2035140696557.0,12439943484742.0
- Chia cổ tức cho năm 2017,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Chia cổ tức cho năm 2017,- Chia cổ tức cho năm 2017,-,-,-,(700.886.434.000),(700.886.434.000),,,,-700886434000.0,-700886434000.0
- Trích quỹ khen thưởng phúc lợi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Trích quỹ khen thưởng phúc lợi,- Trích quỹ khen thưởng phúc lợi,-,-,-,(38.048.025.748),(38.048.025.748),,,,-38048025748.0,-38048025748.0
- Trích quỹ phục vụ hoạt động An sinh xã hội,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Trích quỹ phục vụ hoạt động An sinh xã hội,- Trích quỹ phục vụ hoạt động An sinh xã hội,-,-,-,(10.261.983.299),(10.261.983.299),,,,-10261983299.0,-10261983299.0
- Trích quỹ đầu tư phát triển,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,153.929.749.490,(153.929.749.490),-,,,153929749490.0,-153929749490.0,
"- Tăng vốn điều lệ theo chương trình lựa chọn cho người lao động (""ESOP"")","Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Tăng vốn điều lệ theo chương trình lựa chọn cho người lao động (""ESOP"")","- Tăng vốn điều lệ theo chương trình lựa chọn cho người lao động (""ESOP"")",204.150.000.000,528.748.500.000,-,-,732.898.500.000,204150000000.0,528748500000.0,,,732898500000.0
- Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.051.866.633.336,1.051.866.633.336,,,,1051866633336.0,1051866633336.0
- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.234.500.001),(2.234.500.001),,,,-2234500001.0,-2234500001.0
- Tăng khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > - Tăng khác,- Tăng khác,-,-,-,53.600.000,53.600.000,,,,53600000.0,53600000.0
Ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,7.008.864.340.000,3.713.080.881.197,569.685.816.478,2.181.700.237.355,13.473.331.275.030,7008864340000.0,3713080881197.0,569685816478.0,2181700237355.0,13473331275030.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,,
Ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Ngày 31 tháng 12 năm 2018,Ngày 31 tháng 12 năm 2018,7.008.864.340.000,3.713.080.881.197,569.685.816.478,2.181.700.237.355,13.473.331.275.030,7008864340000.0,3713080881197.0,569685816478.0,2181700237355.0,13473331275030.0
- Chia cổ tức cho năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Chia cổ tức cho năm 2018,- Chia cổ tức cho năm 2018,-,-,-,(700.886.434.000),(700.886.434.000),,,,-700886434000.0,-700886434000.0
- Trích quỹ khen thưởng phúc lợi (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Trích quỹ khen thưởng phúc lợi (*),- Trích quỹ khen thưởng phúc lợi (*),-,-,-,(32.760.910.000),(32.760.910.000),,,,-32760910000.0,-32760910000.0
- Trích quỹ phục vụ hoạt động An sinh xã hội (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Trích quỹ phục vụ hoạt động An sinh xã hội (*),- Trích quỹ phục vụ hoạt động An sinh xã hội (*),-,-,-,(10.519.000.000),(10.519.000.000),,,,-10519000000.0,-10519000000.0
- Trích quỹ đầu tư phát triển (*),Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Trích quỹ đầu tư phát triển (*),- Trích quỹ đầu tư phát triển (*),-,-,157.780.000.000,(157.780.000.000),-,,,157780000000.0,-157780000000.0,
- Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,- Tăng vốn điều lệ do phát hành cổ phiếu riêng lẻ,414.363.300.000,3.597.377.861.610,-,-,4.011.741.161.610,414363300000.0,3597377861610.0,,,4011741161610.0
- Lợi nhuận trong năm,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,1.084.316.950.545,1.084.316.950.545,,,,1084316950545.0,1084316950545.0
- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,- Chi thủ lao cho Hội đồng Quản trị và Ban Kiểm soát,-,-,-,(2.040.000.000),(2.040.000.000),,,,-2040000000.0,-2040000000.0
- Tăng khác,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > - Tăng khác,- Tăng khác,-,-,-,74.500.001,74.500.001,,,,74500001.0,74500001.0
Ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019 > Ngày 31 tháng 12 năm 2019,Ngày 31 tháng 12 năm 2019,7.423.227.640.000,7.310.458.742.807,727.465.816.478,2.362.105.343.901,17.823.257.543.186,7423227640000.0,7310458742807.0,727465816478.0,2362105343901.0,17823257543186.0
