row_label_raw,row_label_full,Đối tượng nợ > Tổng giá trị các khoản phải thu thương mại > Tổng giá trị các khoản phải thu khác,Số cuối năm > Giá gốc > 93.360.709.267 > 110.176.595.300,Số cuối năm > Giá trị có thể thu hồi > 54.750.261.673 > 86.683.982.998,Đơn vị tính: VND > Số đầu năm > Giá gốc > 174.343.316.172 > 133.458.212.656,Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi > 148.559.474.302 > 127.112.283.889,numeric__Số cuối năm > Giá gốc > 93.360.709.267 > 110.176.595.300,numeric__Số cuối năm > Giá trị có thể thu hồi > 54.750.261.673 > 86.683.982.998,numeric__Đơn vị tính: VND > Số đầu năm > Giá gốc > 174.343.316.172 > 133.458.212.656,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị có thể thu hồi > 148.559.474.302 > 127.112.283.889
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,203.537.304.567,141.434.244.671,307.801.528.828,275.671.758.191,203537304567.0,141434244671.0,307801528828.0,275671758191.0
Chi tiết các khoản nợ chiếm trên 10% tổng nợ quá hạn:Công ty Cổ phần Đại dương Thăng Long,Chi tiết các khoản nợ chiếm trên 10% tổng nợ quá hạn:Công ty Cổ phần Đại dương Thăng Long,Chi tiết các khoản nợ chiếm trên 10% tổng nợ quá hạn:Công ty Cổ phần Đại dương Thăng Long,79.677.103.485,79.677.103.485,94.697.103.485,94.697.103.485,79677103485.0,79677103485.0,94697103485.0,94697103485.0
Công ty Cổ phần BSC Việt Nam,Công ty Cổ phần BSC Việt Nam,Công ty Cổ phần BSC Việt Nam,28.052.522.215,6.052.522.215,24.501.238.357,24.501.238.357,28052522215.0,6052522215.0,24501238357.0,24501238357.0
Công ty Cổ phần Đầu bếp Hoàng Gia,Công ty Cổ phần Đầu bếp Hoàng Gia,Công ty Cổ phần Đầu bếp Hoàng Gia,22.185.202.163,10.048.211.073,24.709.383.683,15.894.791.786,22185202163.0,10048211073.0,24709383683.0,15894791786.0
