row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Đặt cọc cho mục đích đầu tư (i),Ngắn hạn: > Đặt cọc cho mục đích đầu tư (i),Đặt cọc cho mục đích đầu tư (i),1.471.459.114.037,1.264.976.298.547,1471459114037.0,1264976298547.0
Tài sản ngắn hạn khác,Ngắn hạn: > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,-,278.572.874.915,,278572874915.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,1.471.459.114.037,1.543.549.173.462,1471459114037.0,1543549173462.0
Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,Dài hạn:,,
Đặt cọc cho mục đích đầu tư,Dài hạn: > Đặt cọc cho mục đích đầu tư,Đặt cọc cho mục đích đầu tư,-,1.500.000.000.000,,1500000000000.0
Tài sản dài hạn khác,Dài hạn: > Tài sản dài hạn khác,Tài sản dài hạn khác,-,1.848.360.000,,1848360000.0
TỔNG CỘNG,Dài hạn: > TỔNG CỘNG,TỔNG CỘNG,-,1.501.848.360.000,,1501848360000.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Đặt cọc và ứng trước cho các bên khác,Trong đó: > Đặt cọc và ứng trước cho các bên khác,Đặt cọc và ứng trước cho các bên khác,520.977.385.226,1.956.310.115.835,520977385226.0,1956310115835.0
Đặt cọc và ứng trước cho các bên liên quan(Thuyết minh số 34),Trong đó: > Đặt cọc và ứng trước cho các bên liên quan(Thuyết minh số 34),Đặt cọc và ứng trước cho các bên liên quan(Thuyết minh số 34),950.481.728.811,1.089.087.417.627,950481728811.0,1089087417627.0
