row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nhận vốn góp,Cổ tức đã trả,Hoàn trả tiền đặtcọc thuê TTTM,Thu hộ phải trả,Thu hộ đã trả,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Mối quan hệ,numeric__Nhận vốn góp,numeric__Cổ tức đã trả,numeric__Hoàn trả tiền đặtcọc thuê TTTM,numeric__Thu hộ phải trả,numeric__Thu hộ đã trả,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Nhận vốn góp,Cổ tức đã trả,Hoàn trả tiền đặtcọc thuê TTTM,Thu hộ phải trả,Thu hộ đã trả,Bồi thường thanh lýhợp đồng phải trả,Bồi thường thanhlý hợp đồng đã trả,,,,,,,,
Warburg Pincus,Bên liên quan > Warburg Pincus,Warburg Pincus,Cổ đông,(538.141.870.000),409.978.109.961,-,-,-,-,-,,-538141870000.0,409978109961.0,,,,,
Credit Suisse,Bên liên quan > Credit Suisse,Credit Suisse,Cổ đông,(1.614.425.600.000),136.659.540.039,-,-,-,-,-,,-1614425600000.0,136659540039.0,,,,,
Công ty Hoàng Gia,Bên liên quan > Công ty Hoàng Gia,Công ty Hoàng Gia,Công ty trongcùng Tập đoàn,-,-,1.572.227.262.147,87.680.113.792,102.893.081.661,(53.911.020.333),53.911.020.333,,,,1572227262147.0,87680113792.0,102893081661.0,-53911020333.0,53911020333.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty trongcùng Tập đoàn,-,-,1.532.917.430.410,55.188.867.711,40.746.304.207,(51.366.025.662),51.366.025.662,,,,1532917430410.0,55188867711.0,40746304207.0,-51366025662.0,51366025662.0
Công ty Cổ phần thời trang M.Y.M,Bên liên quan > Công ty Cổ phần thời trang M.Y.M,Công ty Cổ phần thời trang M.Y.M,Công ty liềnkết của côngty mẹ,-,-,994.172.682.968,-,-,-,-,,,,994172682968.0,,,,
