row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm(Phân loại lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm(Phân loại lại)
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Tiền thu từ các hợp đồng đặt cọc, vay vốn liên quan đến các dự án bắt động sản","Ngắn hạn > Tiền thu từ các hợp đồng đặt cọc, vay vốn liên quan đến các dự án bắt động sản","Tiền thu từ các hợp đồng đặt cọc, vay vốn liên quan đến các dự án bắt động sản",407.427.912.627,951.222.126.749,407427912627.0,951222126749.0
Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Ngắn hạn > Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,166.011.036.845,195.606.168.581,166011036845.0,195606168581.0
Nhận đặt cọc cho mục đích chuyển nhượng bất động sản,Ngắn hạn > Nhận đặt cọc cho mục đích chuyển nhượng bất động sản,Nhận đặt cọc cho mục đích chuyển nhượng bất động sản,67.508.671.879,67.508.671.879,67508671879.0,67508671879.0
Quỹ bảo trì,Ngắn hạn > Quỹ bảo trì,Quỹ bảo trì,56.234.288.876,7.852.651.903,56234288876.0,7852651903.0
Phải trả khác,Ngắn hạn > Phải trả khác,Phải trả khác,51.941.294.185,82.632.476.655,51941294185.0,82632476655.0
,,,749.123.204.412,1.304.822.095.767,749123204412.0,1304822095767.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Đặt cọc thuê văn phòng và quầy hàng,Dài hạn > Đặt cọc thuê văn phòng và quầy hàng,Đặt cọc thuê văn phòng và quầy hàng,717.335.647.269,645.328.658.575,717335647269.0,645328658575.0
Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Dài hạn > Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,Đặt cọc thuê văn phòng và quầy hàng phải hoàn trả trong vòng 12 tháng tới,(166.011.036.845),(195.606.168.581),-166011036845.0,-195606168581.0
,,,551.324.610.424,449.722.489.994,551324610424.0,449722489994.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.300.447.814.836,1.754.544.585.761,1300447814836.0,1754544585761.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả cho các bên khác,Trong đó: > Phải trả cho các bên khác,Phải trả cho các bên khác,1.233.482.951.412,1.657.309.899.292,1233482951412.0,1657309899292.0
Phải trả khác cho các bên liên quan(Thuyết minh số 34),Trong đó: > Phải trả khác cho các bên liên quan(Thuyết minh số 34),Phải trả khác cho các bên liên quan(Thuyết minh số 34),66.964.863.424,97.234.686.469,66964863424.0,97234686469.0
