row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,"Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ,"Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",Cổ tức phải thu,Cổ tức đã thu,Hoàn ứng từ nhà cung cấp,numeric__Mối quan hệ,"numeric__Mua sắm hàng hóa, dịch vụ và phí quản lý phải trả",numeric__Thanh toán/Trả tiền trước mua hàng hóa và dịch vụ,"numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan phải thu","numeric__Doanh thu từ cung cấp dịch vụ quản lý, cho thuê và các dịch vụ liên quan đã thu",numeric__Cổ tức phải thu,numeric__Cổ tức đã thu,numeric__Hoàn ứng từ nhà cung cấp
Công ty Xây dựng Vincom 1 Công ty TNHH Kinh doanh,Công ty Xây dựng Vincom 1 Công ty TNHH Kinh doanh,Công ty Xây dựng Vincom 1 Công ty TNHH Kinh doanh,Công ty trong cùng Tập đoàn,(1.120.505.573.204),1.034.983.429.799,-,-,-,-,(425.857.065.548),,-1120505573204.0,1034983429799.0,,,,,-425857065548.0
"Thương mại và Dịch vụ VinDS (""Công ty VinDS"") Tập đoàn","Thương mại và Dịch vụ VinDS (""Công ty VinDS"") Tập đoàn","Thương mại và Dịch vụ VinDS (""Công ty VinDS"") Tập đoàn",Công ty trong cùng Tập đoàn,-,-,52.941.699.809,(26.960.057.749),-,-,-,,,,52941699809.0,-26960057749.0,,,
"Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")","Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")","Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")",Công ty mẹ,(138.688.947.710),170.550.143.656,-,-,-,-,-,,-138688947710.0,170550143656.0,,,,,
"Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")","Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")","Vingroup - Công ty CP Công ty TNHH Đầu tư Kinh doanh Thương mai BFF (""Công ty BFF"")",Công ty trong cùng Tập đoàn,-,-,52.859.646.139,(26.999.253.017),-,-,-,,,,52859646139.0,-26999253017.0,,,
"Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")","Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")","Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")",Công ty trong cùng Tập đoàn,(129.804.485.799),131.390.499.919,205.662.685.874,(307.966.229.670),-,-,-,,-129804485799.0,131390499919.0,205662685874.0,-307966229670.0,,,
"Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")","Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")","Công ty Vincommerce Công ty TNHH Dịch vụ bảo vệ Vincom (""Công ty Bảo vệ Vincom"")",Công ty liên kết,(25.121.481.418),20.225.204.218,-,-,-,-,-,,-25121481418.0,20225204218.0,,,,,
"Công ty Tân Liên Phát Công ty Cổ phần Vinpearlland (""Công ty Vinpearland"")","Công ty Tân Liên Phát Công ty Cổ phần Vinpearlland (""Công ty Vinpearland"")","Công ty Tân Liên Phát Công ty Cổ phần Vinpearlland (""Công ty Vinpearland"")",Công ty trong cùng Tập đoàn,-,-,-,-,-260.000.000.000,(26C.000.000.000),-,,,,,,-260000000000.0,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Lãi vay phải thu,Lãi vay đã thu,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả/trả trước,Cổ tức phải trả,,,,,,,,
Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Bên liên quan > Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Công ty mẹ,463.023.919.095,(350.232.050.000),(213.170.400.000),8.247.241.666.667,(947.141.708.079),1.493.823.585.851,,,463023919095.0,-350232050000.0,-213170400000.0,8247241666667.0,-947141708079.0,1493823585851.0,
Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Bên liên quan > Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Cổ đông,-,-,-,-,(32.082.027.269),32.082.027.269,(602.776.400.000),,,,,,-32082027269.0,32082027269.0,-602776400000.0
Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Bên liên quan > Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Tập đoàn Vingroup - Công ty CP Warburg Pincus Credit Suisse,Cổ đông,-,-,-,-,-,-,(200.925.100.000),,,,,,,,-200925100000.0
