row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),Số đầu năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),numeric__Mối quan hệ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),numeric__Số cuối năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1),numeric__Số đầu năm > Phải thu ngắn hạn khách hàng (Thuyết minh số 6.1)
Công ty VinDS,Công ty VinDS,Công ty VinDS,Công ty trong cùng Tập đoàn,"Phải thu phí quản lý, cho thuê TTTM và cung cấp dịch vụ liên quan",25.981.642.060,-,,,25981642060.0,
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,"Phải thu phí quản lý, cho thuê TTTM và cung cấp dịch vụ liên quan",22.888.437.082,3.406.981.743,,,22888437082.0,3406981743.0
Công ty Vincommerce,Công ty Vincommerce,Công ty Vincommerce,Công ty trong cùng Tập đoàn,Phải thu bán hàng hóa,839.839.471,122.624.838.606,,,839839471.0,122624838606.0
Công ty Thời Đại,Công ty Thời Đại,Công ty Thời Đại,Công ty trong cùng Tập đoàn,"Phải thu phí quản lý, cho thuê TTTM và cung cấp dịch vụ liên quan",4.620.452.849,8.797.142.350,,,4620452849.0,8797142350.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,23.921.553.294,18.763.190.192,,,23921553294.0,18763190192.0
,,,,,78.251.924.756,153.592.152.891,,,78251924756.0,153592152891.0
Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2),,,,
Công ty Xây dựng Vincom 6,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Xây dựng Vincom 6,Công ty Xây dựng Vincom 6,Công ty trong cùng Tập đoàn,"Trả trước tiền mua hàng hóa, dịch vụ",25.586.470.362,-,,,25586470362.0,
Công ty Xây dựng Vincom 1,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,"Trả trước tiền mua hàng hóa, dịch vụ",-,441.033.616.698,,,,441033616698.0
Các bên liên quan khác,Trả trước cho người bán ngắn hạn (Thuyết minh số 6.2) > Các bên liên quan khác,Các bên liên quan khác,,,251.103.231,-,,,251103231.0,
,,,,,25.837.573.593,441.033.616.698,,,25837573593.0,441033616698.0
