row_label_raw,row_label_full,Công ty Tân Liên Phát > Số đầu năm,Năm nay > 3.648.451.948.540,Đơn vị tính: VND > Năm trước > 3.336.564.478.376,numeric__Năm nay > 3.648.451.948.540,numeric__Đơn vị tính: VND > Năm trước > 3.336.564.478.376
Lợi nhuận được chia,Lợi nhuận được chia,Lợi nhuận được chia,783.710.842.475,225.007.516.703,783710842475.0,225007516703.0
Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát,Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát,Chênh lệch từ giao dịch bên liên kết mua công ty con đồng kiểm soát,-,86.879.953.461,,86879953461.0
Chênh lệch từ giao dịch mua thêm lợi ích trong công ty con không thay đổi quyền kiểm soát của bên liên kết,Chênh lệch từ giao dịch mua thêm lợi ích trong công ty con không thay đổi quyền kiểm soát của bên liên kết,Chênh lệch từ giao dịch mua thêm lợi ích trong công ty con không thay đổi quyền kiểm soát của bên liên kết,(56.260.900.865),-,-56260900865.0,
Giao dịch bán công ty con mất quyền kiểm soát của bên liên kết (*),Giao dịch bán công ty con mất quyền kiểm soát của bên liên kết (*),Giao dịch bán công ty con mất quyền kiểm soát của bên liên kết (*),(86.879.953.462),-,-86879953462.0,
Cổ tức được chia trong năm,Cổ tức được chia trong năm,Cổ tức được chia trong năm,(260.000.000.000),-,-260000000000.0,
Số cuối năm,Số cuối năm,Số cuối năm,4.029.021.936.688,3.648.451.948.540,4029021936688.0,3648451948540.0
