row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số cuối năm,Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số đầu năm(Phân loại lại),numeric__Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số cuối năm,numeric__Đơn vị tính: VND > Giá trị ghi sổ đồng thời là số có khả năng trả nợ > Số đầu năm(Phân loại lại)
Phải trả ngắn hạn cho người bán,Phải trả ngắn hạn cho người bán,Phải trả ngắn hạn cho người bán,188.766.034.649,1.038.589.591.954,188766034649.0,1038589591954.0
Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 34),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 34),Phải trả ngắn hạn cho các bên liên quan(Thuyết minh số 34),264.696.093.850,557.494.998.527,264696093850.0,557494998527.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,453.462.128.499,1.596.084.590.481,453462128499.0,1596084590481.0
Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả:,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả:,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả:,,,,
"Phải trả Công ty TNHH Quản lý Xây dựngVincom 1 (""Công ty Xây dựng Vincom 1"")","Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả: > Phải trả Công ty TNHH Quản lý Xây dựngVincom 1 (""Công ty Xây dựng Vincom 1"")","Phải trả Công ty TNHH Quản lý Xây dựngVincom 1 (""Công ty Xây dựng Vincom 1"")",197.111.938.285,391.054.008.240,197111938285.0,391054008240.0
Phải trả Công ty Cổ phần Đầu tư Nam Long,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả: > Phải trả Công ty Cổ phần Đầu tư Nam Long,Phải trả Công ty Cổ phần Đầu tư Nam Long,71.025.000.000,-,71025000000.0,
Phải trả cổ đông cũ của công ty con để mua cổ phần,Trong đó:Chi tiết các khoản phải trả ngắn hạn chiếm trên10% tổng phải trả: > Phải trả cổ đông cũ của công ty con để mua cổ phần,Phải trả cổ đông cũ của công ty con để mua cổ phần,4.599.639.475,667.500.151.363,4599639475.0,667500151363.0
