row_label_raw,row_label_full,Bên liên quan > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Mối quan hệ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Nội dung nghiệp vụ > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Số cuối năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20),numeric__Số đầu năm > Người mua trả tiền trước ngắn hạn (Thuyết minh số 20)
Công tyVinpearlland,Công tyVinpearlland,Công tyVinpearlland,Công ty trongcùng Tập đoàn,Trả trước tiền mua hàng hóa và dịch vụ,47.174.102.985,-,,,47174102985.0,
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,,,"2,148,164,513","5,810,701,622",,,,
,,,,,"49,322,267,498","5,810,701,622",,,,
Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),Chi phí phải trả ngắn hạn (Thuyết minh số 22),,,,
Tập đoàn Vingroup– Công ty CP,Chi phí phải trả ngắn hạn (Thuyết minh số 22) > Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,Lãi vay phải trảDịch vụ khác,38.631.194.7575.296.204,583.977.019.751-,,,3.863119475752962e+17,
Công ty Xây dựngVincom 1,Chi phí phải trả ngắn hạn (Thuyết minh số 22) > Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty trongcùng Tập đoàn,"Mua hàng hóa, dịch vụ phải trả",108.502.020,186.877.851.118,,,108502020.0,186877851118.0
Các bên liên quankhác,Chi phí phải trả ngắn hạn (Thuyết minh số 22) > Các bên liên quankhác,Các bên liên quankhác,,,7.030.629.541,1.038.093.800,,,7030629541.0,1038093800.0
,,,,,45.775.622.522,771.892.964.669,,,45775622522.0,771892964669.0
Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),Phải trả ngắn hạn khác (Thuyết minh số 23),,,,
Công tyVincommerce,Phải trả ngắn hạn khác (Thuyết minh số 23) > Công tyVincommerce,Công tyVincommerce,Công ty trongcùng Tập đoàn,Đặt cọc thuê mặt bằng TTTM,1.941.488.175,13.369.476.573,,,1941488175.0,13369476573.0
Các bên liên quankhác,Phải trả ngắn hạn khác (Thuyết minh số 23) > Các bên liên quankhác,Các bên liên quankhác,,,20.664.697.271,5.179.752.860,,,20664697271.0,5179752860.0
,,,,,22.606.185.446,18.549.229.433,,,22606185446.0,18549229433.0
