row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,Ngắn hạn:,,
Chi phí môi giới bán hàng liên quan đến bất động sản chưa bàn giao,Ngắn hạn: > Chi phí môi giới bán hàng liên quan đến bất động sản chưa bàn giao,Chi phí môi giới bán hàng liên quan đến bất động sản chưa bàn giao,28.211.584.556,129.436.282.103,28211584556.0,129436282103.0
Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),Ngắn hạn: > Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),Chi phí lãi vay trả trước cho các bên liên quan (Thuyết minh số 34),22.367.438.971,23.446.929.828,22367438971.0,23446929828.0
Chi phí đầu tư các dự án,Ngắn hạn: > Chi phí đầu tư các dự án,Chi phí đầu tư các dự án,17.649.087.093,-,17649087093.0,
Thuế thu nhập doanh nghiệp tạm tính,Ngắn hạn: > Thuế thu nhập doanh nghiệp tạm tính,Thuế thu nhập doanh nghiệp tạm tính,14.733.341.776,13.096.751.582,14733341776.0,13096751582.0
Chi phí sửa chữa lớn,Ngắn hạn: > Chi phí sửa chữa lớn,Chi phí sửa chữa lớn,11.072.239.441,7.481.374.232,11072239441.0,7481374232.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn: > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,40.095.125.803,11.925.997.901,40095125803.0,11925997901.0
TỔNG CỘNG,Ngắn hạn: > TỔNG CỘNG,TỔNG CỘNG,134.128.817.640,185.387.335.646,134128817640.0,185387335646.0
Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,Dải hạn:,,
Chi phí thuê mặt bằng trả trước (i),Dải hạn: > Chi phí thuê mặt bằng trả trước (i),Chi phí thuê mặt bằng trả trước (i),1.117.445.762.026,-,1117445762026.0,
"Công cụ, dụng cụ","Dải hạn: > Công cụ, dụng cụ","Công cụ, dụng cụ",24.331.629.643,15.508.616.737,24331629643.0,15508616737.0
Tiền thuê đất trả trước,Dải hạn: > Tiền thuê đất trả trước,Tiền thuê đất trả trước,18.782.204.774,24.168.155.803,18782204774.0,24168155803.0
Chi phí hoa hồng môi giới,Dải hạn: > Chi phí hoa hồng môi giới,Chi phí hoa hồng môi giới,14.821.843.285,16.146.019.041,14821843285.0,16146019041.0
Chi phí trả trước dài hạn khác,Dải hạn: > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,12.693.214.238,19.009.211.018,12693214238.0,19009211018.0
TỔNG CỘNG,Dải hạn: > TỔNG CỘNG,TỔNG CỘNG,1.188.074.653.966,74.832.002.599,1188074653966.0,74832002599.0
