row_label_raw,row_label_full,Bên liên quan > Phải thu khác (Thuyết minh số 7),Mối quan hệ > Phải thu khác (Thuyết minh số 7),Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 7),Số cuối năm > Phải thu khác (Thuyết minh số 7),Đơn vị tính: VND Số đầu năm > Phải thu khác (Thuyết minh số 7),numeric__Mối quan hệ > Phải thu khác (Thuyết minh số 7),numeric__Nội dung nghiệp vụ > Phải thu khác (Thuyết minh số 7),numeric__Số cuối năm > Phải thu khác (Thuyết minh số 7),numeric__Đơn vị tính: VND Số đầu năm > Phải thu khác (Thuyết minh số 7)
Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,Lãi vay phải thu,236.829.752.116,150.455.176.487,,,236829752116.0,150455176487.0
Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Tập đoàn Vingroup– Công ty CP,Công ty mẹ,Phải thu khác,8.133.524.984,7.428.347.463,,,8133524984.0,7428347463.0
Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty Xây dựngVincom 1,Công ty trongcùng Tập đoàn,Lãi vay phải thu,106.652.089.261,97.764.051.143,,,106652089261.0,97764051143.0
Công tyVincommerce,Công tyVincommerce,Công tyVincommerce,Công ty trongcùng Tập đoàn,Phải thu từchuẩn nhượngkhoản đầu tư,30.949.855.695,-,,,30949855695.0,
Các bên liên quankhác,Các bên liên quankhác,Các bên liên quankhác,,Phải thu khác,7.795.396.858,10.755.035.562,,,7795396858.0,10755035562.0
,,,,,390.360.618.914,265.957.232.107,,,390360618914.0,265957232107.0
Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),Chi phí trả trước ngắn hạn (Thuyết minh số 10),,,,
Credit Suisse,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Credit Suisse,Credit Suisse,Cổ đông,Lãi vay trả trước,16.775.579.228,5.861.732.457,,,16775579228.0,5861732457.0
Warburg Pincus,Chi phí trả trước ngắn hạn (Thuyết minh số 10) > Warburg Pincus,Warburg Pincus,Cổ đông,Lãi vay trả trước,5.591.859.743,17.585.197.371,,,5591859743.0,17585197371.0
,,,,,22.367.438.971,23.446.929.828,,,22367438971.0,23446929828.0
