row_label_raw,row_label_full,Năm trước > Số dư đầu năm > - Lợi nhuận thuần trong năm,Vốn cổ phần đã phát hành > Năm trước > 12.010.580.000.000 > -,Thặng dư vốn cổ phần > Năm trước > 71.256.000.000 > -,Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) > Năm trước > (131.836.480.829) > 1.089.883.818.132,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > -,Lợi ích của cổ đông không kiểm soát > Năm trước > 55.997.745.122 > 14.550.798,Đơn vị tính: VND Tổng cộng > Năm trước > 12.005.997.264.293 > 1.089.898.368.930,numeric__Vốn cổ phần đã phát hành > Năm trước > 12.010.580.000.000 > -,numeric__Thặng dư vốn cổ phần > Năm trước > 71.256.000.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối/(lỗ lũy kế) > Năm trước > (131.836.480.829) > 1.089.883.818.132,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > -,numeric__Lợi ích của cổ đông không kiểm soát > Năm trước > 55.997.745.122 > 14.550.798,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 12.005.997.264.293 > 1.089.898.368.930
- Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,2.152.567.470.000,-,-,-,-,2.152.567.470.000,2152567470000.0,,,,,2152567470000.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,(446.120.191.822),-,-,(446.120.191.822),,,-446120191822.0,,,-446120191822.0
- Mua công ty con mới được đồng kiểm soát,- Mua công ty con mới được đồng kiểm soát,- Mua công ty con mới được đồng kiểm soát,3.098.000.000,6.388.247.691,-,(58.419.891.967),43.732.284.354,(5.201.359.922),3098000000.0,6388247691.0,,-58419891967.0,43732284354.0,-5201359922.0
- Bên liên kết mua công ty con mới được đồng kiểm soát,- Bên liên kết mua công ty con mới được đồng kiểm soát,- Bên liên kết mua công ty con mới được đồng kiểm soát,-,-,-,86.879.953.461,-,86.879.953.461,,,,86879953461.0,,86879953461.0
- Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,6.000.000.000,20.553.449.998,(54.568.137),-,(26.498.881.861),-,6000000000.0,20553449998.0,-54568137.0,,-26498881861.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,14.172.245.470.000,98.197.697.689,511.872.577.344,28.460.061.494,73.245.698.413,14.884.021.504.940,14172245470000.0,98197697689.0,511872577344.0,28460061494.0,73245698413.0,14884021504940.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,14.172.245.470.000,98.197.697.689,511.872.577.344,28.460.061.494,73.245.698.413,14.884.021.504.940,14172245470000.0,98197697689.0,511872577344.0,28460061494.0,73245698413.0,14884021504940.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,2.436.561.458.525,-,3.086.056.892,2.439.647.515.417,,,2436561458525.0,,3086056892.0,2439647515417.0
- Vốn cổ phần phát hành thêm,Năm nay > - Vốn cổ phần phát hành thêm,- Vốn cổ phần phát hành thêm,6.919.479.480.000,1.690.294.564.980,-,-,-,8.609.774.044.980,6919479480000.0,1690294564980.0,,,,8609774044980.0
- Chia cổ tức,Năm nay > - Chia cổ tức,- Chia cổ tức,-,-,(1.079.197.079.133),-,-,(1.079.197.079.133),,,-1079197079133.0,,,-1079197079133.0
- Giao dịch bán công ty con của bên liên kết (Thuyết minh số 17.1),Năm nay > - Giao dịch bán công ty con của bên liên kết (Thuyết minh số 17.1),- Giao dịch bán công ty con của bên liên kết (Thuyết minh số 17.1),-,-,-,(86.879.953.461),-,(86.879.953.461),,,,-86879953461.0,,-86879953461.0
- Giao dịch mua thêm lợi ích trong công ty con của bên liên kết (Thuyết minh số 17.1),Năm nay > - Giao dịch mua thêm lợi ích trong công ty con của bên liên kết (Thuyết minh số 17.1),- Giao dịch mua thêm lợi ích trong công ty con của bên liên kết (Thuyết minh số 17.1),-,-,(56.260.900.865),-,-,(56.260.900.865),,,-56260900865.0,,,-56260900865.0
- Góp vốn từ cổ đông không kiểm soát,Năm nay > - Góp vốn từ cổ đông không kiểm soát,- Góp vốn từ cổ đông không kiểm soát,-,-,-,-,6.880.000.000,6.880.000.000,,,,,6880000000.0,6880000000.0
- Mua thêm một phần lợi ích trong công ty con hiện hữu,Năm nay > - Mua thêm một phần lợi ích trong công ty con hiện hữu,- Mua thêm một phần lợi ích trong công ty con hiện hữu,-,-,18.075.238.078,-,(52.675.238.078),(34.600.000.000),,,18075238078.0,,-52675238078.0,-34600000000.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,21.091.724.950.000,1.788.492.262.669,1.831.051.293.949,(58.419.891.967),30.536.517.227,24.683.385.131.878,21091724950000.0,1788492262669.0,1831051293949.0,-58419891967.0,30536517227.0,24683385131878.0
