row_label_raw,row_label_full,Bên liên quan > Vay ngắn hạn (Thuyết minh số 25.1) > Tập đoàn Vingroup –Công ty CP,Mối quan hệ > Vay ngắn hạn (Thuyết minh số 25.1) > Công ty mẹ,Số cuối năm VND > Vay ngắn hạn (Thuyết minh số 25.1) > 50.000.000.000138.700.000.000,Lãi suất (%/năm) > Vay ngắn hạn (Thuyết minh số 25.1) > 7%7%,Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 25.1) > Tháng 4 năm 2016Tháng 12 năm 2016,numeric__Mối quan hệ > Vay ngắn hạn (Thuyết minh số 25.1) > Công ty mẹ,numeric__Số cuối năm VND > Vay ngắn hạn (Thuyết minh số 25.1) > 50.000.000.000138.700.000.000,numeric__Lãi suất (%/năm) > Vay ngắn hạn (Thuyết minh số 25.1) > 7%7%,numeric__Ngày đáo hạn > Vay ngắn hạn (Thuyết minh số 25.1) > Tháng 4 năm 2016Tháng 12 năm 2016
,,,,188.700.000.000,,,,188700000000.0,,
Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),Vay dài hạn (Thuyết minh số 25.2),,,,
Credit SuisseWarburg Pincus,Vay dài hạn (Thuyết minh số 25.2) > Credit SuisseWarburg Pincus,Credit SuisseWarburg Pincus,Cổ đôngCổ đông,112.250.000.000336.750.000.000,"8,75%8,75%",Tháng 1 năm 2019Tháng 1 năm 2019,,1.1225000000033676e+23,,
Tập đoàn Vingroup –Công ty CP,Vay dài hạn (Thuyết minh số 25.2) > Tập đoàn Vingroup –Công ty CP,Tập đoàn Vingroup –Công ty CP,Công ty mẹ,4.218.600.000.0004.689.941.666.6671.600.000.000.000,"16,47%9,28%13%",Tháng 5 năm 2018Tháng 12 năm 2018Tháng 2 năm 2019,,4.218600000000469e+38,,
,,,,10.957.541.666.667,,,,10957541666667.0,,
