row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính:VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính:VNDNăm trước
Vốn đầu tư đã góp của chủ sở hữu,Vốn đầu tư đã góp của chủ sở hữu,Vốn đầu tư đã góp của chủ sở hữu,Vốn đầu tư đã góp của chủ sở hữu,Vốn đầu tư đã góp của chủ sở hữu,,
Số dư đầu năm,Vốn đầu tư đã góp của chủ sở hữu > Số dư đầu năm,Số dư đầu năm,14.172.245.470.000,12.010.580.000.000,14172245470000.0,12010580000000.0
Vốn góp tăng trong năm,Vốn đầu tư đã góp của chủ sở hữu > Vốn góp tăng trong năm,Vốn góp tăng trong năm,6.919.479.480.000,2.161.665.470.000,6919479480000.0,2161665470000.0
Số dư cuối năm,Vốn đầu tư đã góp của chủ sở hữu > Số dư cuối năm,Số dư cuối năm,21.091.724.950.000,14.172.245.470.000,21091724950000.0,14172245470000.0
"Cổ tức, lợi nhuận đã chia cho cổ đông nằm giữ cổ phiếu ưu đãi","Vốn đầu tư đã góp của chủ sở hữu > Cổ tức, lợi nhuận đã chia cho cổ đông nằm giữ cổ phiếu ưu đãi","Cổ tức, lợi nhuận đã chia cho cổ đông nằm giữ cổ phiếu ưu đãi",(1.079.197.079.133),(446.120.191.822),-1079197079133.0,-446120191822.0
