row_label_raw,row_label_full,Bên liên quan,Bên liên quan_1,Mối quan hệ,Mối quan hệ_1,Đặt cọc cho mục đích đầu tư,Đặt cọc cho mục đích đầu tư_1,Hoàn trả tiền đặt cọc thuê TTTM,Hoàn trả tiền đặt cọc thuê TTTM_1,Đơn vị tính: VND,Đơn vị tính: VND_1,numeric__Bên liên quan_1,numeric__Mối quan hệ,numeric__Mối quan hệ_1,numeric__Đặt cọc cho mục đích đầu tư,numeric__Đặt cọc cho mục đích đầu tư_1,numeric__Hoàn trả tiền đặt cọc thuê TTTM,numeric__Hoàn trả tiền đặt cọc thuê TTTM_1,numeric__Đơn vị tính: VND,numeric__Đơn vị tính: VND_1
Bên liên quan,Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Mối quan hệ,Đặt cọc cho mục đích đầu tư,Đặt cọc cho mục đích đầu tư,Hoàn trả tiền đặt cọc thuê TTTM,Hoàn trả tiền đặt cọc thuê TTTM,Nhận góp vốn,Nhận góp vốn,,,,,,,,,
Tập đoàn Vingroup - Công ty CP,Bên liên quan > Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Tập đoàn Vingroup - Công ty CP,Công ty mẹ,Công ty mẹ,183.960.694.445,183.960.694.445,450.644.561.887,450.644.561.887,(5.256.710.680.000),(5.256.710.680.000),,,,183960694445.0,183960694445.0,450644561887.0,450644561887.0,-5256710680000.0,-5256710680000.0
Công ty Nam Hà Nội,Bên liên quan > Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty trong cùng Tập đoàn,Công ty trong cùng Tập đoàn,-,-,-,-,(117.851.000.000),(117.851.000.000),,,,,,,,-117851000000.0,-117851000000.0
Công ty Vinmec,Bên liên quan > Công ty Vinmec,Công ty Vinmec,Công ty Vinmec,Công ty trong cùng Tập đoàn,Công ty trong cùng Tập đoàn,-,-,-,-,(1.544.917.800.000),(1.544.917.800.000),,,,,,,,-1544917800000.0,-1544917800000.0
Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,Những giao dịch trọng yếu của Công ty với các bên liên quan trong năm 2015 bao gồm:,,,,,,,,,
,,,,,,,,,,Đơn vị tính: VND,Đơn vị tính: VND,,,,,,,,,
Bên liên quan,Bên liên quan,Bên liên quan,Mối quan hệ,Đi vay,Đi vay đã trả,Lãi vay phải trả,Lãi vay đã trả,Cho vay Thu hồi gốc cho vay,Lãi vay phải thu,Lãi vay đã thu,Lãi vay đã thu,,,,,,,,,
Tập đoàn Vingroup – Công ty CP,Bên liên quan > Tập đoàn Vingroup – Công ty CP,Tập đoàn Vingroup – Công ty CP,Công ty mẹ(5.110.700.000.000),Công ty mẹ(5.110.700.000.000),1.600.000.000.000,(953.454.789.304),523.613.590.413,- (894.987.500.000),419.775.178.319,(369.602.951.137),(369.602.951.137),,,1600000000000.0,-953454789304.0,523613590413.0,,419775178319.0,-369602951137.0,-369602951137.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Bên liên quan > Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty Cổ phần Đầu tư và Phát triển Đô thị Sài Đồng,Công ty trong cùng Tập đoàn,-,270.000.000.000,-,-,-,-,-,-,,,270000000000.0,,,,,,
Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty Nam Hà Nội,Công ty trong cùng Tập đoàn,-,-,-,-,210.000.000.000 (1.780.545.182.000),-,-,-,,,,,,,,,
Công ty Xây dựng Vincom 1,Công ty Nam Hà Nội > Công ty Xây dựng Vincom 1,Công ty Xây dựng Vincom 1,Công ty trong cùng Tập đoàn,-,-,-,-,-,97.318.672.595,(9.474.646.935),(9.474.646.935),,,,,,,97318672595.0,-9474646935.0,-9474646935.0
