row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ
Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,Vay dài hạn ngân hàng đến hạn trả,25.2.1,24.488.117.484,24.488.117.484,2.549.689.773,(20.567.175.073),6.470.632.184,6.470.632.184,2521.0,24488117484.0,24488117484.0,2549689773.0,-20567175073.0,6470632184.0,6470632184.0
Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,Vay ngắn hạn ngân hàng,,113.577.234.793,113.577.234.793,-,(113.577.234.793),-,-,,113577234793.0,113577234793.0,,-113577234793.0,,
Vay ngắn hạn từ các bên liên quan,Vay ngắn hạn từ các bên liên quan,Vay ngắn hạn từ các bên liên quan,34,188.700.000.000,188.700.000.000,-,(188.700.000.000),-,-,34.0,188700000000.0,188700000000.0,,-188700000000.0,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,326.765.352.277,326.765.352.277,2.549.689.773,(322.844.409.866),6.470.632.184,6.470.632.184,,326765352277.0,326765352277.0,2549689773.0,-322844409866.0,6470632184.0,6470632184.0
25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,25.2 Vay và nợ dài hạn,,,,,,,
,,,Thuyết minh,Số đầu năm,Số đầu năm,Trong năm,Trong năm,Số cuối năm,Số cuối năm,,,,,,,
,,,Thuyết minh,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,,
Trái phiếu doanh nghiệp,25.2 Vay và nợ dài hạn > Trái phiếu doanh nghiệp,Trái phiếu doanh nghiệp,25.2.2,2.788.041.666.666,2.788.041.666.666,4.783.333.332,-,2.792.824.999.998,2.792.824.999.998,2522.0,2788041666666.0,2788041666666.0,4783333332.0,,2792824999998.0,2792824999998.0
Vay dài hạn ngân hàng,25.2 Vay và nợ dài hạn > Vay dài hạn ngân hàng,Vay dài hạn ngân hàng,25.2.1,167.638.612.670,167.638.612.670,-,(125.084.984.029),42.553.628.641,42.553.628.641,2521.0,167638612670.0,167638612670.0,,-125084984029.0,42553628641.0,42553628641.0
Vay chuyển đổi từ các cổ đông,25.2 Vay và nợ dài hạn > Vay chuyển đổi từ các cổ đông,Vay chuyển đổi từ các cổ đông,25.2.3,,,,,,,2523.0,,,,,,
Vay chuyển đổi từ các cổ đông,25.2 Vay và nợ dài hạn > Vay chuyển đổi từ các cổ đông,Vay chuyển đổi từ các cổ đông,34,449.000.000.000,449.000.000.000,6.800.000.000,-,455.800.000.000,455.800.000.000,34.0,449000000000.0,449000000000.0,6800000000.0,,455800000000.0,455800000000.0
Vay từ các bên liên quan,25.2 Vay và nợ dài hạn > Vay từ các bên liên quan,Vay từ các bên liên quan,34,10.508.541.666.667,10.508.541.666.667,213.170.400.000,(8.058.541.666.667),2.663.170.400.000,2.663.170.400.000,34.0,10508541666667.0,10508541666667.0,213170400000.0,-8058541666667.0,2663170400000.0,2663170400000.0
TỔNG CỘNG,25.2 Vay và nợ dài hạn > TỔNG CỘNG,TỔNG CỘNG,,13.913.221.946.003,13.913.221.946.003,224.753.733.332,(8.183.626.650.696),5.954.349.028.639,5.954.349.028.639,,13913221946003.0,13913221946003.0,224753733332.0,-8183626650696.0,5954349028639.0,5954349028639.0
