row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,47.317.425.597,163.571.669.267,47317425597.0,163571669267.0
Thu nhập từ phạt hợp đồng,Thu nhập từ phạt hợp đồng,Thu nhập từ phạt hợp đồng,31.612.980.627,16.942.413.568,31612980627.0,16942413568.0
Lãi từ giao dịch mua rễ,Lãi từ giao dịch mua rễ,Lãi từ giao dịch mua rễ,-,126.695.368.227,,126695368227.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,6.044.570.578,417.587.173,6044570578.0,417587173.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,9.659.874.392,19.516.300.299,9659874392.0,19516300299.0
Chi phí khác,Chi phí khác,Chi phí khác,191.624.102.283,132.592.721.819,191624102283.0,132592721819.0
Chi phí bồi thường vi phạm hợp đồng (i),Chi phí bồi thường vi phạm hợp đồng (i),Chi phí bồi thường vi phạm hợp đồng (i),171.111.490.819,112.878.707.222,171111490819.0,112878707222.0
Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,Chi phí thanh lý tài sản cố định,3.976.620.773,3.032.780.615,3976620773.0,3032780615.0
Chi phí khác,Chi phí khác,Chi phí khác,16.535.990.691,16.681.233.982,16535990691.0,16681233982.0
(Lỗ)/LỢI NHUẬN KHÁC THUẦN,(Lỗ)/LỢI NHUẬN KHÁC THUẦN,(Lỗ)/LỢI NHUẬN KHÁC THUẦN,(144.306.676.686),30.978.947.448,-144306676686.0,30978947448.0
