row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm(Phân loại lại),numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm(Phân loại lại)
Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,Phải thu từ chuyển nhượng khoản đầu tư,398.616.093.134,29.376.903.500,398616093134.0,29376903500.0
Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Phải thu từ cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,257.997.206.848,265.610.935.734,257997206848.0,265610935734.0
Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,Phải thu từ chuyển nhượng bất động sản,158.798.483.570,163.822.033.997,158798483570.0,163822033997.0
Phải thu từ bán hàng hóa,Phải thu từ bán hàng hóa,Phải thu từ bán hàng hóa,-,122.624.838.606,,122624838606.0
Phải thu khác,Phải thu khác,Phải thu khác,13.706.917.636,24.672.102.989,13706917636.0,24672102989.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,829.118.701.188,606.106.814.826,829118701188.0,606106814826.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải thu ngắn hạn từ khách hàng,Trong đó: > Phải thu ngắn hạn từ khách hàng,Phải thu ngắn hạn từ khách hàng,750.866.776.432,452.514.661.935,750866776432.0,452514661935.0
Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 34),Trong đó: > Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 34),Phải thu ngắn hạn từ các bên liên quan(Thuyết minh số 34),78.251.924.756,153.592.152.891,78251924756.0,153592152891.0
Dự phòng phải thu ngắn hạn khó đòi,Trong đó: > Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(38.610.447.594),(25.783.841.870),-38610447594.0,-25783841870.0
Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu,,
Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng bất động sản từ một đối tác doanh nghiệp,121.657.981.787,121.657.981.787,121657981787.0,121657981787.0
Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,Chi tiết các khoản phải thu ngắn hạn từ khách hàng chiếm trên 10% tổng phải thu > Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,Phải thu từ chuyển nhượng khoản đầu tư từ một đối tác doanh nghiệp,331.000.000.000,-,331000000000.0,
