row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước(Trình bày lại),numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước(Trình bày lại)
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,2.587.957.674.792,1.326.858.369.340,2587957674792.0,1326858369340.0
Thuế TNDN tính theo thuế suất của Công ty và các công ty con,Thuế TNDN tính theo thuế suất của Công ty và các công ty con,Thuế TNDN tính theo thuế suất của Công ty và các công ty con,517.591.534.958,291.908.841.255,517591534958.0,291908841255.0
Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác nhau áp dụng cho các công ty con,-,(732.005.790),,-732005790.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,,,
Phân bổ lợi thế thương mại,Các khoản điều chỉnh tăng > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,14.518.542.861,5.115.885.153,14518542861.0,5115885153.0
Chênh lệch giá vốn báo cáo riêng và báo cáo hợp nhất,Các khoản điều chỉnh tăng > Chênh lệch giá vốn báo cáo riêng và báo cáo hợp nhất,Chênh lệch giá vốn báo cáo riêng và báo cáo hợp nhất,7.747.787.411,29.117.155.521,7747787411.0,29117155521.0
Các khoản tăng khác,Các khoản điều chỉnh tăng > Các khoản tăng khác,Các khoản tăng khác,6.976.166.542,(882.465.143),6976166542.0,-882465143.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,,,
Chênh lệch (lãi)/lỗ từ việc thanh lý công ty con và mất quyền kiểm soát trên báo cáo tài chính hợp nhất so với báo cáo tài chính riêng,Các khoản điều chỉnh giảm > Chênh lệch (lãi)/lỗ từ việc thanh lý công ty con và mất quyền kiểm soát trên báo cáo tài chính hợp nhất so với báo cáo tài chính riêng,Chênh lệch (lãi)/lỗ từ việc thanh lý công ty con và mất quyền kiểm soát trên báo cáo tài chính hợp nhất so với báo cáo tài chính riêng,(61.603.001.995),-,-61603001995.0,
Phân bổ lỗ từ sáp nhập các công ty con,Các khoản điều chỉnh giảm > Phân bổ lỗ từ sáp nhập các công ty con,Phân bổ lỗ từ sáp nhập các công ty con,(24.281.332.707),(20.512.810.809),-24281332707.0,-20512810809.0
Lãi từ giao dịch mua rè,Các khoản điều chỉnh giảm > Lãi từ giao dịch mua rè,Lãi từ giao dịch mua rè,-,(27.872.981.010),,-27872981010.0
Phần lãi trong công ty liên kết,Các khoản điều chỉnh giảm > Phần lãi trong công ty liên kết,Phần lãi trong công ty liên kết,(156.742.168.495),(49.501.653.675),-156742168495.0,-49501653675.0
Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Các khoản điều chỉnh giảm > Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,Chênh lệch từ việc đánh giá lại giá trị hợp lý khi mua công ty con,(63.860.783.413),-,-63860783413.0,
Thu nhập từ hợp đồng hợp tác kinh doanh,Các khoản điều chỉnh giảm > Thu nhập từ hợp đồng hợp tác kinh doanh,Thu nhập từ hợp đồng hợp tác kinh doanh,(5.560.000.000),-,-5560000000.0,
Lỗ tính thuế của Công ty và các công ty con,Các khoản điều chỉnh giảm > Lỗ tính thuế của Công ty và các công ty con,Lỗ tính thuế của Công ty và các công ty con,-,14.006.896.444,,14006896444.0
Lỗ năm trước chuyển sang,Các khoản điều chỉnh giảm > Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,(94.859.977.795),(3.201.724.495),-94859977795.0,-3201724495.0
Điều chỉnh thuế TNDN trích thiếu/(thừa) trong những năm trước,Các khoản điều chỉnh giảm > Điều chỉnh thuế TNDN trích thiếu/(thừa) trong những năm trước,Điều chỉnh thuế TNDN trích thiếu/(thừa) trong những năm trước,8.383.392.008,(485.137.041),8383392008.0,-485137041.0
Chi phí thuế TNDN ước tính trong năm hiện hành,Các khoản điều chỉnh giảm > Chi phí thuế TNDN ước tính trong năm hiện hành,Chi phí thuế TNDN ước tính trong năm hiện hành,148.310.159.375,236.960.000.410,148310159375.0,236960000410.0
