row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,101.142.223.411,238.912.203.230,(313.737.922.111),26.316.504.530,101142223411.0,238912203230.0,-313737922111.0,26316504530.0
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,194.289.546.845,229.320.888.144,(414.704.328.613),8.906.106.376,194289546845.0,229320888144.0,-414704328613.0,8906106376.0
Tiền sử dụng đất,Phải nộp > Tiền sử dụng đất,Tiền sử dụng đất,170.609.765.249,218.919.890.614,(356.554.426.096),32.975.229.767,170609765249.0,218919890614.0,-356554426096.0,32975229767.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.379.376.382,20.266.621.839,(19.945.363.320),1.700.634.901,1379376382.0,20266621839.0,-19945363320.0,1700634901.0
Thuế và các khoản phải nộp khác,Phải nộp > Thuế và các khoản phải nộp khác,Thuế và các khoản phải nộp khác,-,1.458.341.444,(1.458.341.444),-,,1458341444.0,-1458341444.0,
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,467.420.911.887,708.877.945.271,(1.106.400.381.584),69.898.475.574,467420911887.0,708877945271.0,-1106400381584.0,69898475574.0
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp nộp thừa,Phải thu > Thuế thu nhập doanh nghiệp nộp thừa,Thuế thu nhập doanh nghiệp nộp thừa,-,4.468.635.872,-,4.468.635.872,,4468635872.0,,4468635872.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,535.475.282,2.312.252.298,-,2.847.727.580,535475282.0,2312252298.0,,2847727580.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,535.475.282,6.780.888.170,-,7.316.363.452,535475282.0,6780888170.0,,7316363452.0
