row_label_raw,row_label_full,col_0,Số đầu năm,Số tăng trong năm,Số giảm trong năm,VND Số cuối năm,numeric__Số đầu năm,numeric__Số tăng trong năm,numeric__Số giảm trong năm,numeric__VND Số cuối năm
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế thu nhập doanh nghiệp,Phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,1.264.217.651,711.552.292,-,1.975.769.943,1264217651.0,711552292.0,,1975769943.0
Thuế thu nhập cá nhân,Phải thu > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,62.840.249,27.912.534,(52.863.980),37.888.803,62840249.0,27912534.0,-52863980.0,37888803.0
Thuế giá trị gia tăng,Phải thu > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.523.873,11.070.377.469,(11.070.751.432),1.149.910,1523873.0,11070377469.0,-11070751432.0,1149910.0
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,1.328.581.773,11.809.842.295,(11.123.615.412),2.014.808.656,1328581773.0,11809842295.0,-11123615412.0,2014808656.0
,,,Số đầu năm,Số tăng trong năm,Số giảm trong năm,Số cuối năm,,,,
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,221.109.770.775,560.881.507.538,(640.588.270.327),141.403.007.986,221109770775.0,560881507538.0,-640588270327.0,141403007986.0
Thuế thu nhập doanh nghiệp,Phải nộp > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,103.660.294.971,102.166.885.139,(147.640.543.653),58.186.636.457,103660294971.0,102166885139.0,-147640543653.0,58186636457.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.144.181.479,66.453.570.519,(67.747.889.527),6.849.862.471,8144181479.0,66453570519.0,-67747889527.0,6849862471.0
Khác,Phải nộp > Khác,Khác,392.728.908,866.383.998,(1.238.363.706),20.749.200,392728908.0,866383998.0,-1238363706.0,20749200.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,333.306.976.133,730.368.347.194,(857.215.067.213),206.460.256.114,333306976133.0,730368347194.0,-857215067213.0,206460256114.0
