row_label_raw,row_label_full,Công ty TNHH Tiến Phát Đông Bắc,Công ty liên kết,Cho vay,18.888.573.981,-,numeric__Công ty liên kết,numeric__Cho vay,numeric__18.888.573.981,numeric__-
Ông Võ Minh Hoàng,Ông Võ Minh Hoàng,Ông Võ Minh Hoàng,Giám đốc Công ty con,Cho vay,8.587.280.000,8.587.280.000,,,8587280000.0,8587280000.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Cho vay,-,1.018.725.718,,,,1018725718.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,27.475.853.981,9.606.005.718,,,27475853981.0,9606005718.0
