row_label_raw,row_label_full,col_0,Xây dựng,Kinh doanhbất động sản,Hàng hóa khác,Điều chỉnh và loại trừ,VNDTổng cộng,numeric__Xây dựng,numeric__Kinh doanhbất động sản,numeric__Hàng hóa khác,numeric__Điều chỉnh và loại trừ,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bên thứ ba,Doanh thu > Doanh thu từ bên thứ ba,Doanh thu từ bên thứ ba,18.320.407.636.007,75.032.979.958,214.296.297.788,-,18.609.736.913.753,18320407636007.0,75032979958.0,214296297788.0,,18609736913753.0
Doanh thu giữa các bộ phận,Doanh thu > Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,137.326.863.030,810.453.072,2.228.703.918.346,(2.366.841.234.448),-,137326863030.0,810453072.0,2228703918346.0,-2366841234448.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,18.457.734.499.037,75.843.433.030,2.443.000.216.134,(2.366.841.234.448),18.609.736.913.753,18457734499037.0,75843433030.0,2443000216134.0,-2366841234448.0,18609736913753.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,1.195.427.524.203,34.316.092.181,16.143.975.201,-,1.245.887.591.585(443.104.005.947),1195427524203.0,34316092181.0,16143975201.0,,
Chi phí không phân bổ,Chi phí không phân bổ,Chi phí không phân bổ,-,-,-,-,1.245.887.591.585(443.104.005.947),,,,,
"Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập",,,,,
tài chính và chi phí tài chính,"Lợi nhuận trước thuế, thu nhập > tài chính và chi phí tài chính",tài chính và chi phí tài chính,-,-,-,-,802.783.585.638,,,,,802783585638.0
Thu nhập tài chính,"Lợi nhuận trước thuế, thu nhập > Thu nhập tài chính",Thu nhập tài chính,-,-,-,-,61.596.097.779,,,,,61596097779.0
Chi phí tài chính,"Lợi nhuận trước thuế, thu nhập > Chi phí tài chính",Chi phí tài chính,-,-,-,-,(324.620.121.040),,,,,-324620121040.0
Lỗ từ công ty liên kết,"Lợi nhuận trước thuế, thu nhập > Lỗ từ công ty liên kết",Lỗ từ công ty liên kết,-,-,-,-,(12.859.932.544),,,,,-12859932544.0
Lợi nhuận trước thuế,"Lợi nhuận trước thuế, thu nhập > Lợi nhuận trước thuế",Lợi nhuận trước thuế,-,-,-,-,526.899.629.833,,,,,526899629833.0
Chi phí thuế TNDN hiện hành,"Lợi nhuận trước thuế, thu nhập > Chi phí thuế TNDN hiện hành",Chi phí thuế TNDN hiện hành,-,-,-,-,(101.455.332.847),,,,,-101455332847.0
Chi phí thuế TNDN hoãn lại,"Lợi nhuận trước thuế, thu nhập > Chi phí thuế TNDN hoãn lại",Chi phí thuế TNDN hoãn lại,-,-,-,-,(19.862.919.191),,,,,-19862919191.0
Lợi nhuận sau thuế trong năm,"Lợi nhuận trước thuế, thu nhập > Lợi nhuận sau thuế trong năm",Lợi nhuận sau thuế trong năm,-,-,-,-,405.581.377.795,,,,,405581377795.0
