row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Khác,VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Khác,numeric__VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,42.264.635.783,11.426.498.203,1.216.005.358,54.907.139.344,42264635783.0,11426498203.0,1216005358.0,54907139344.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,10.300.000.000,-,10.300.000.000,,10300000000.0,,10300000000.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,-,1.019.950.000,-,1.019.950.000,,1019950000.0,,1019950000.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,32.550.000,-,-,32.550.000,32550000.0,,,32550000.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(1.105.346.475),-,(1.105.346.475),,-1105346475.0,,-1105346475.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,42.297.185.783,21.641.101.728,1.216.005.358,65.154.292.869,42297185783.0,21641101728.0,1216005358.0,65154292869.0
Trong đó: Đã hao mòn hết,Nguyên giá > Trong đó: Đã hao mòn hết,Trong đó: Đã hao mòn hết,-,6.370.479.969,1.216.005.358,7.586.485.327,,6370479969.0,1216005358.0,7586485327.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,-,(8.452.606.722),(1.216.005.358),(9.668.612.080),,-8452606722.0,-1216005358.0,-9668612080.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,(2.030.816.827),-,(2.030.816.827),,-2030816827.0,,-2030816827.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,1.105.346.475,-,1.105.346.475,,1105346475.0,,1105346475.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,-,(9.378.077.074),(1.216.005.358),(10.594.082.432),,-9378077074.0,-1216005358.0,-10594082432.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,42.264.635.783,2.973.891.481,-,45.238.527.264,42264635783.0,2973891481.0,,45238527264.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,42.297.185.783,12.263.024.654,-,54.560.210.437,42297185783.0,12263024654.0,,54560210437.0
Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),Giá trị còn lại > Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),Trong đó: Tài sản sử dụng để thế chấp (Thuyết minh số 24.1),4.500.924.600,-,-,4.500.924.600,4500924600.0,,,4500924600.0
