row_label_raw,row_label_full,Ông Lê Viết Hải,Tổng Giám đốc,col_2,numeric__Tổng Giám đốc,numeric__col_2
Ông Trương Quang Nhật,Ông Trương Quang Nhật,Ông Trương Quang Nhật,Phó Tổng Giám đốc,,,
Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Ông Nguyễn Tấn Thọ,Phó Tổng Giám đốc,,,
Ông Lê Quốc Duy,Ông Lê Quốc Duy,Ông Lê Quốc Duy,Phó Tổng Giám đốc,,,
Ông Dương Đình Thanh,Ông Dương Đình Thanh,Ông Dương Đình Thanh,Phó Tổng Giám đốc,,,
Ông Trần Trí Gia Nguyễn,Ông Trần Trí Gia Nguyễn,Ông Trần Trí Gia Nguyễn,Phó Tổng Giám đốc,,,
Ông Hồ Ngọc Phương,Ông Hồ Ngọc Phương,Ông Hồ Ngọc Phương,Phó Tổng Giám đốc,Bổ nhiệm ngày 1 tháng 3 năm 2020,,
Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Ông Lê Việt Hiếu,Phó Tổng Giám đốc,Bổ nhiệm ngày 3 tháng 5 năm 2019,,
Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Ông Nguyễn Hùng Cường,Phó Tổng Giám đốc,Bổ nhiệm ngày 26 tháng 4 năm 2019,,
Ông Nguyễn Văn Tịnh,Ông Nguyễn Văn Tịnh,Ông Nguyễn Văn Tịnh,Phó Tổng Giám đốc,Miễn nhiệm ngày 1 tháng 9 năm 2019,,
Ông Nguyễn Văn An,Ông Nguyễn Văn An,Ông Nguyễn Văn An,Phó Tổng Giám đốc,Miễn nhiệm ngày 15 tháng 5 năm 2019,,
Ông Lê Văn Nam,Ông Lê Văn Nam,Ông Lê Văn Nam,Phó Tổng Giám đốc,Miễn nhiệm ngày 1 tháng 7 năm 2019,,
