row_label_raw,row_label_full,Công ty Cổ phầnKỹ thuật Jesco Hòa Bình,Công tyliên kết,Chi phíthầu phụ,155.084.373.237,125.287.010.319,numeric__Công tyliên kết,numeric__Chi phíthầu phụ,numeric__155.084.373.237,numeric__125.287.010.319
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phíthầu phụChi phí thuềnhà xưởng,61.787.260.209,34.637.249.745,,,61787260209.0,34637249745.0
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phíthầu phụChi phí thuềnhà xưởng,-,3.816.761.543,,,,3816761543.0
Công ty Cổ phần Trang tríNội thất Onwa Tech,Công ty Cổ phần Trang tríNội thất Onwa Tech,Công ty Cổ phần Trang tríNội thất Onwa Tech,Công tyliên kết,Chi phíthầu phụ,319.613.673,-,,,319613673.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,217.191.247.119,163.741.021.607,,,217191247119.0,163741021607.0
