row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
"Chi phí sản xuất, kinh doanh dở dang (*)","Chi phí sản xuất, kinh doanh dở dang (*)","Chi phí sản xuất, kinh doanh dở dang (*)",1.426.994.874.658,(1.768.250.000),1.047.781.848.101,(1.768.250.000),1426994874658.0,-1768250000.0,1047781848101.0,-1768250000.0
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
Công trình xây dựng,Trong đó: > Công trình xây dựng,Công trình xây dựng,496.911.732.167,(1.768.250.000),677.020.786.902,(1.768.250.000),496911732167.0,-1768250000.0,677020786902.0,-1768250000.0
Dự án bắt động sản,Trong đó: > Dự án bắt động sản,Dự án bắt động sản,624.280.675.131,-,195.601.774.315,-,624280675131.0,,195601774315.0,
Chi phí phát triển dự án khu công nghiệp,Trong đó: > Chi phí phát triển dự án khu công nghiệp,Chi phí phát triển dự án khu công nghiệp,159.674.076.755,-,135.327.500.867,-,159674076755.0,,135327500867.0,
Khác,Trong đó: > Khác,Khác,146.128.390.605,-,39.831.786.017,-,146128390605.0,,39831786017.0,
Nguyên vật liệu xây dựng,Trong đó: > Nguyên vật liệu xây dựng,Nguyên vật liệu xây dựng,355.088.488.802,(2.441.788.805),668.444.463.797,(328.000),355088488802.0,-2441788805.0,668444463797.0,-328000.0
Hàng hóa bắt động sản để bán,Trong đó: > Hàng hóa bắt động sản để bán,Hàng hóa bắt động sản để bán,110.627.635.961,-,112.059.214.789,-,110627635961.0,,112059214789.0,
Hàng hóa,Trong đó: > Hàng hóa,Hàng hóa,36.756.306.893,(736.437.510),13.092.800.324,(5.258.711.652),36756306893.0,-736437510.0,13092800324.0,-5258711652.0
Thành phẩm,Trong đó: > Thành phẩm,Thành phẩm,2.288.223.206,(22.319.169.947),23.308.211.124,(20.334.579.811),2288223206.0,-22319169947.0,23308211124.0,-20334579811.0
Hàng tồn kho khác,Trong đó: > Hàng tồn kho khác,Hàng tồn kho khác,4.731.539.583,-,3.415.867.710,-,4731539583.0,,3415867710.0,
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,1.936.487.069.103,(27.265.646.262),1.868.102.405.845,(27.361.869.463),1936487069103.0,-27265646262.0,1868102405845.0,-27361869463.0
