row_label_raw,row_label_full,Công ty TNHH Tiến PhátĐông Bắc,Công tyliên kết,Chi phíthầu phụ,46.011.025.666,115.943.034.175,numeric__Công tyliên kết,numeric__Chi phíthầu phụ,numeric__46.011.025.666,numeric__115.943.034.175
Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công ty Cổ phần Cơ khívà Nhôm kính Anh Việt,Công tyliên kết,Chi phíthầu phụ,-,238.246.906,,,,238246906.0
Ông Lê Quốc Duy,Ông Lê Quốc Duy,Ông Lê Quốc Duy,Thành viên Hộiđồng quản trị,Tạm ứng,483.707.704,483.707.704,,,483707704.0,483707704.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,46.494.733.370,116.664.988.785,,,46494733370.0,116664988785.0
