row_label_raw,row_label_full,col_0,Bảng cân đối kế toán hợp nhất,Bảng cân đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bảng cân đối kế toán hợp nhất,numeric__Bảng cân đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
,,,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,,
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,,,,
Lợi nhuận chưa thực hiện,Tài sản thuế thu nhập hoãn lại > Lợi nhuận chưa thực hiện,Lợi nhuận chưa thực hiện,16.576.853.411,14.526.576.349,2.050.277.062,10.761.986.450,16576853411.0,14526576349.0,2050277062.0,10761986450.0
Chi phí dự án chưa ghi nhận doanh thu,Tài sản thuế thu nhập hoãn lại > Chi phí dự án chưa ghi nhận doanh thu,Chi phí dự án chưa ghi nhận doanh thu,16.184.171.707,13.640.941.406,2.543.230.301,3.338.831.122,16184171707.0,13640941406.0,2543230301.0,3338831122.0
Lỗ kỳ trước chuyển sang của các công ty con,Tài sản thuế thu nhập hoãn lại > Lỗ kỳ trước chuyển sang của các công ty con,Lỗ kỳ trước chuyển sang của các công ty con,1.817.071.475,9.188.752.365,(7.371.680.890),(5.322.080.777),1817071475.0,9188752365.0,-7371680890.0,-5322080777.0
Dự phòng trợ cấp thời việc,Tài sản thuế thu nhập hoãn lại > Dự phòng trợ cấp thời việc,Dự phòng trợ cấp thời việc,5.670.904.250,5.427.758.681,243.145.569,553.017.548,5670904250.0,5427758681.0,243145569.0,553017548.0
Dự phòng giảm giá hàng tồn kho,Tài sản thuế thu nhập hoãn lại > Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,4.107.154.223,4.107.154.223,-,1.394.169.610,4107154223.0,4107154223.0,,1394169610.0
Chi phí phải trả ngắn hạn,Tài sản thuế thu nhập hoãn lại > Chi phí phải trả ngắn hạn,Chi phí phải trả ngắn hạn,36.946.256,16.238.681,20.707.575,(12.194.282),36946256.0,16238681.0,20707575.0,-12194282.0
Dự phòng nợ phải thu khó đòi,Tài sản thuế thu nhập hoãn lại > Dự phòng nợ phải thu khó đòi,Dự phòng nợ phải thu khó đòi,6.125.750,-,6.125.750,-,6125750.0,,6125750.0,
,,,44.399.227.072,46.907.421.705,(2.508.194.633),10.713.729.671,44399227072.0,46907421705.0,-2508194633.0,10713729671.0
