row_label_raw,row_label_full,Công ty TNHH,Công ty liên kết,Cung cấp dịch vụ,1.299.361.795,58.099.184.383,numeric__Công ty liên kết,numeric__Cung cấp dịch vụ,numeric__1.299.361.795,numeric__58.099.184.383
Tiền Phát Đông Bắc,Tiền Phát Đông Bắc,Tiền Phát Đông Bắc,Công ty liên kết,Cung cấp dịch vụ,1.299.361.795,58.099.184.383,,,1299361795.0,58099184383.0
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Cung cấp dịch vụ,-,472.014.635,,,,472014635.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.299.361.795,58.571.199.018,,,1299361795.0,58571199018.0
