row_label_raw,row_label_full,STT,Tên công ty con,Trụ sở chính,Hoạt động chính,Tình trạng,Tỷ lệsở hữu(%),Tỷ lệ quyềnbiểu quyết(%),numeric__Tên công ty con,numeric__Trụ sở chính,numeric__Hoạt động chính,numeric__Tình trạng,numeric__Tỷ lệsở hữu(%),numeric__Tỷ lệ quyềnbiểu quyết(%)
I.,I.,I.,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,Công ty con trực tiếp,,,,,,
1.,I. > 1.,1.,Công ty Cổ phần Nhà Hòa Bình,Thành phốHồ Chí Minh,Kinh doanh phát triển cácdự án bắt động sản,Đanghoạt động,"99,96","99,96",,,,,99.96,99.96
2.,I. > 2.,2.,Công ty TNHH Hòa Bình Myanmar,Myanmar,"Cung cấp dịch vụ thiết kế, xây dựng,dịch vụ giám sát chất lượng, quản lýxây dựng và dịch vụquản lý dự án",Trướchoạt động,"100,00","100,00",,,,,100.0,100.0
3.,I. > 3.,3.,Công ty TNHH MTV Máy Xây dựng Matec,Thành phốHồ Chí Minh,Cho thuê máy móc cơ điện và thiết bịxây dựng,Đanghoạt động,"100,00","100,00",,,,,100.0,100.0
4.,I. > 4.,4.,Công ty TNHH Sơn Hòa Bình,Thành phốHồ Chí Minh,"Sản xuất, mua bán vật liệu xâydựng; và cung cấp dịch vụ trang trínội thất",Đanghoạt động,"100,00","100,00",,,,,100.0,100.0
5.,I. > 5.,5.,Công ty TNHH Tư vấn Thiết kế Hòa Bình,Thành phốHồ Chí Minh,"Cung cấp dịch vụ thiết kế kiến trúc vàtự vấn thiết kế, xây dựng",Đanghoạt động,"75,00","75,00",,,,,75.0,75.0
6.,I. > 6.,6.,Công ty Cổ phần Đầu tư Xây dựng Hạ tầngHòa Bình,Tỉnh Long An,"Đầu tư, xây dựng khu công nghiệp",Đanghoạt động,"97,97","97,97",,,,,97.97,97.97
