row_label_raw,row_label_full,Số đầu năm > Tăng trong năm,319.261.113.036 > 48.900.000.000,numeric__319.261.113.036 > 48.900.000.000
Thay đổi thành công ty con,Thay đổi thành công ty con,Thay đổi thành công ty con,(55.612.509.091),-55612509091.0
Số cuối năm,Số cuối năm,Số cuối năm,312.548.603.945,312548603945.0
