row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,80.057.786.243,1.973.668.611.794,59.767.122.950,20.572.426.036,2.134.065.947.023,80057786243.0,1973668611794.0,59767122950.0,20572426036.0,2134065947023.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,71.826.571.072,1.995.013.637,1.795.279.274,75.616.863.983,,71826571072.0,1995013637.0,1795279274.0,75616863983.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,290.669.277,84.416.224.628,11.626.144.758,-,96.333.038.663,290669277.0,84416224628.0,11626144758.0,,96333038663.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,14.479.022.053,-,700.000.000,-,15.179.022.053,14479022053.0,,700000000.0,,15179022053.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(136.528.375.902),(1.114.135.998),(1.001.067.245),(138.643.579.145),,-136528375902.0,-1114135998.0,-1001067245.0,-138643579145.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(346.874.130),-,-,-,(346.874.130),-346874130.0,,,,-346874130.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,94.480.603.443,1.993.383.031.592,72.974.145.347,21.366.638.065,2.182.204.418.447,94480603443.0,1993383031592.0,72974145347.0,21366638065.0,2182204418447.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,1.086.015.951,156.674.079.175,4.933.270.728,6.200.355.791,168.893.721.645,1086015951.0,156674079175.0,4933270728.0,6200355791.0,168893721645.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,
Số đầu năm,Giá trị khấu hao lũy kế > Số đầu năm,Số đầu năm,(16.903.253.820),(709.332.834.044),(20.636.687.203),(12.110.531.871),(758.983.306.938),-16903253820.0,-709332834044.0,-20636687203.0,-12110531871.0,-758983306938.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,(7.275.399.391),(225.108.940.300),(6.190.411.880),(2.712.329.682),(241.287.081.253),-7275399391.0,-225108940300.0,-6190411880.0,-2712329682.0,-241287081253.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,109.443.192.916,1.114.135.998,962.217.412,111.519.546.326,,109443192916.0,1114135998.0,962217412.0,111519546326.0
Giảm khác,Giá trị khấu hao lũy kế > Giảm khác,Giảm khác,110.200.539,-,-,-,110.200.539,110200539.0,,,,110200539.0
Số cuối năm,Giá trị khấu hao lũy kế > Số cuối năm,Số cuối năm,(24.068.452.672),(824.998.581.428),(25.712.963.085),(13.860.644.141),(888.640.641.326),-24068452672.0,-824998581428.0,-25712963085.0,-13860644141.0,-888640641326.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,63.154.532.423,1.264.335.777.750,39.130.435.747,8.461.894.165,1.375.082.640.085,63154532423.0,1264335777750.0,39130435747.0,8461894165.0,1375082640085.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,70.412.150.771,1.168.384.450.164,47.261.182.262,7.505.993.924,1.293.563.777.121,70412150771.0,1168384450164.0,47261182262.0,7505993924.0,1293563777121.0
Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1 và 24.3),Giá trị còn lại > Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1 và 24.3),Trong đó:Tài sản sử dụng để thế chấp(Thuyết minh số 24.1 và 24.3),29.114.315.455,214.202.725.439,1.766.828.460,1.680.000.000,246.763.869.354,29114315455.0,214202725439.0,1766828460.0,1680000000.0,246763869354.0
