row_label_raw,row_label_full,Ông Lê Quốc Duy,Thành viên Hội đồng quản trị,Công tác phí,-,4.519.430,numeric__Thành viên Hội đồng quản trị,numeric__Công tác phí,numeric__-,numeric__4.519.430
Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),Phải trả dài hạn khác (Thuyết minh số 23),,,,
Công ty TNHH Tiến Phát Đông Bắc,Phải trả dài hạn khác (Thuyết minh số 23) > Công ty TNHH Tiến Phát Đông Bắc,Công ty TNHH Tiến Phát Đông Bắc,Công ty liên kết,Đặt cọc,1.208.327.400,-,,,1208327400.0,
Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Phải trả dài hạn khác (Thuyết minh số 23) > Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty Cổ phần Cơ khí và Nhôm kính Anh Việt,Công ty liên kết,Đặt cọc,300.234.000,300.234.000,,,300234000.0,300234000.0
TỔNG CỘNG,Phải trả dài hạn khác (Thuyết minh số 23) > TỔNG CỘNG,TỔNG CỘNG,,,1.508.561.400,300.234.000,,,1508561400.0,300234000.0
