row_label_raw,row_label_full,col_0,Xây dựng,Kinh doanhbất động sản,Hàng hóa khác,Điều chỉnh và loại trừ,VNDTổng cộng,numeric__Xây dựng,numeric__Kinh doanhbất động sản,numeric__Hàng hóa khác,numeric__Điều chỉnh và loại trừ,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
Doanh thu từ bên thứ ba,Doanh thu > Doanh thu từ bên thứ ba,Doanh thu từ bên thứ ba,17.480.128.711.946,624.768.271.316,194.436.685.233,-,18.299.333.668.495,17480128711946.0,624768271316.0,194436685233.0,,18299333668495.0
Doanh thu giữa các bộ phận,Doanh thu > Doanh thu giữa các bộ phận,Doanh thu giữa các bộ phận,199.055.457.831,2.871.457.346,2.039.747.179.925,(2.241.674.095.102),-,199055457831.0,2871457346.0,2039747179925.0,-2241674095102.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,17.679.184.169.777,627.639.728.662,2.234.183.865.158,(2.241.674.095.102),18.299.333.668.495,17679184169777.0,627639728662.0,2234183865158.0,-2241674095102.0,18299333668495.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,1.579.890.981.145,129.936.397.984,(22.786.410.505),-,1.687.040.968.624,1579890981145.0,129936397984.0,-22786410505.0,,1687040968624.0
Chi phí không phân bổ,Kết quả hoạt động kinh doanh > Chi phí không phân bổ,Chi phí không phân bổ,-,-,-,-,(623.009.367.717),,,,,-623009367717.0
"Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập","Lợi nhuận trước thuế, thu nhập",,,,,
tài chính và chi phí tài chính,"Lợi nhuận trước thuế, thu nhập > tài chính và chi phí tài chính",tài chính và chi phí tài chính,-,-,-,-,1.064.031.600.907,,,,,1064031600907.0
Thu nhập tài chính,"Lợi nhuận trước thuế, thu nhập > Thu nhập tài chính",Thu nhập tài chính,-,-,-,-,60.967.840.448,,,,,60967840448.0
Chi phí tài chính,"Lợi nhuận trước thuế, thu nhập > Chi phí tài chính",Chi phí tài chính,-,-,-,-,(321.030.114.429),,,,,-321030114429.0
Lỗ từ công ty liên kết,"Lợi nhuận trước thuế, thu nhập > Lỗ từ công ty liên kết",Lỗ từ công ty liên kết,-,-,-,-,(9.086.163.502),,,,,-9086163502.0
Lợi nhuận trước thuế,"Lợi nhuận trước thuế, thu nhập > Lợi nhuận trước thuế",Lợi nhuận trước thuế,-,-,-,-,794.883.163.424,,,,,794883163424.0
Chi phí thuế TNDN hiện hành,"Lợi nhuận trước thuế, thu nhập > Chi phí thuế TNDN hiện hành",Chi phí thuế TNDN hiện hành,-,-,-,-,(178.811.421.180),,,,,-178811421180.0
Thu nhập thuế TNDN hoãn lại,"Lợi nhuận trước thuế, thu nhập > Thu nhập thuế TNDN hoãn lại",Thu nhập thuế TNDN hoãn lại,-,-,-,-,4.033.482.374,,,,,4033482374.0
Lợi nhuận sau thuế trong năm,"Lợi nhuận trước thuế, thu nhập > Lợi nhuận sau thuế trong năm",Lợi nhuận sau thuế trong năm,-,-,-,-,620.105.224.618,,,,,620105224618.0
Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,Vào ngày 31 tháng 12 năm 2018,,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,13.467.840.299.831,333.175.031.799,1.227.519.718.322,-,15.028.535.049.952,13467840299831.0,333175031799.0,1227519718322.0,,15028535049952.0
