row_label_raw,row_label_full,col_0,2016VND,2015VNDĐã điều chỉnh lại,numeric__2016VND,numeric__2015VNDĐã điều chỉnh lại
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,6.300.186.511.350,4.210.067.494.546,6300186511350.0,4210067494546.0
Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,Thuế tính theo thuế suất của Công ty mẹ,1.260.037.302.270,926.214.848.800,1260037302270.0,926214848800.0
Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,(7.283.136.441),(1.232.015.498),-7283136441.0,-1232015498.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,15.477.410.609,21.377.076.747,15477410609.0,21377076747.0
Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,Tài sản thuế thu nhập hoãn lại không được ghi nhận,49.888.634.821,220.762.342.363,49888634821.0,220762342363.0
Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,Thu nhập không bị tính thuế,(124.236.494.626),(118.834.963.190),-124236494626.0,-118834963190.0
Dự phòng thừa năm trước,Dự phòng thừa năm trước,Dự phòng thừa năm trước,-,(1.231.488.526),,-1231488526.0
Lỗ tính thuế được sử dụng mà trước dây chưa ghi nhận,Lỗ tính thuế được sử dụng mà trước dây chưa ghi nhận,Lỗ tính thuế được sử dụng mà trước dây chưa ghi nhận,(41.130.827.594),(250.620.191.477),-41130827594.0,-250620191477.0
tài sản thuế thu nhập hoãn lại,tài sản thuế thu nhập hoãn lại,tài sản thuế thu nhập hoãn lại,,,,
,,,1.152.752.889.039,796.435.609.219,1152752889039.0,796435609219.0
