row_label_raw,row_label_full,col_0,Mã số,Thuyết miuh,2016 VND,2015 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết miuh,numeric__2016 VND,numeric__2015 VND Đã điều chỉnh lại
Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,Doanh thu bán hàng và cung cấp dịch vụ,01,,123.127.176.864.983,146.949.724.169.217,1.0,,123127176864983.0,146949724169217.0
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,02,,30.659.848.663,29.236.553.896,2.0,,30659848663.0,29236553896.0
Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),10,4,123.096.517.016.320,146.920.487.615.321,10.0,4.0,123096517016320.0,146920487615321.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,11,4,108.891.432.070.956,133.736.913.046.300,11.0,4.0,108891432070956.0,133736913046300.0
Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),Lợi nhuận gộp (20 = 10 - 11),20,,14.205.084.945.364,13.183.574.569.021,20.0,,14205084945364.0,13183574569021.0
Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,21,26,879.878.586.647,795.562.315.782,21.0,26.0,879878586647.0,795562315782.0
Chi phí tài chính,Chi phí tài chính,Chi phí tài chính,22,27,844.097.800.840,2.576.637.913.523,22.0,27.0,844097800840.0,2576637913523.0
Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,Trong đó: Chi phí lãi vay,23,,551.519.187.171,586.069.449.690,23.0,,551519187171.0,586069449690.0
"Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết","Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",24,28,599.747.414.012,506.773.141.894,24.0,28.0,599747414012.0,506773141894.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,25,29,7.701.328.853.813,6.849.771.826.614,25.0,29.0,7701328853813.0,6849771826614.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,26,,1.016.549.078.091,976.916.370.537,26.0,,1016549078091.0,976916370537.0
Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) + 24 - (25 + 26)},30,,6.122.735.213.279,4.082.583.916.023,30.0,,6122735213279.0,4082583916023.0
Thu nhập khác,Thu nhập khác,Thu nhập khác,31,,336.689.016.471,435.753.098.379,31.0,,336689016471.0,435753098379.0
Chi phí khác,Chi phí khác,Chi phí khác,32,,159.237.718.400,308.269.519.856,32.0,,159237718400.0,308269519856.0
Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),Lợi nhuận khác (40 = 31 - 32),40,,177.451.298.071,127.483.578.523,40.0,,177451298071.0,127483578523.0
Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),Lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,6.300.186.511.350,4.210.067.494.546,50.0,,6300186511350.0,4210067494546.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,51,31,1.152.206.706.935,795.979.342.565,51.0,31.0,1152206706935.0,795979342565.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,52,31,546.182.104,456.266.654,52.0,31.0,546182104.0,456266654.0
Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),Lợi nhuận sau thuế TNDN (60 = 50 - 51 - 52)(chuyển sang trang sau),60,,5.147.433.622.311,3.413.631.885.327,60.0,,5147433622311.0,3413631885327.0
