row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thếng dư vốn cổ phần VND,Vốn khác (I) VND,Cổ phiếu quy VND,Chính lệch dành giá lại lái sản (II) VND,Chính lệch tỷ giá hổl dosi VND,Quỹ đầu tư phát triển VND,Quỹ khác zhước vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phần phối VND,Lợi ích cổ đông không kiểm soát VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thếng dư vốn cổ phần VND,numeric__Vốn khác (I) VND,numeric__Cổ phiếu quy VND,numeric__Chính lệch dành giá lại lái sản (II) VND,numeric__Chính lệch tỷ giá hổl dosi VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác zhước vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phần phối VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng cộng VND
Số dư tạ ngレイ 1/1/2015,Số dư tạ ngレイ 1/1/2015,Số dư tạ ngレイ 1/1/2015,10.700.000.000.000,4.325.862.417,729.602.617.999,-,(1.324.709.393.252),(37.397.092.969),733.375.261.237,39.918.054.412,444.725.987.293,2.802.036.701.221,14.091.877.998.358,10700000000000.0,4325862417.0,729602617999.0,,-1324709393252.0,-37397092969.0,733375261237.0,39918054412.0,444725987293.0,2802036701221.0,14091877998358.0
Lợi nhuận thuần trong năm - đã điều chỉnh lại,Lợi nhuận thuần trong năm - đã điều chỉnh lại,Lợi nhuận thuần trong năm - đã điều chỉnh lại,-,-,-,-,-,-,-,-,3.078.500.536.269,335.131.349.058,3.413.631.885.327,,,,,,,,,3078500536269.0,335131349058.0,3413631885327.0
Lợi nhuận thuần trong năm - đã buto cือ trước đây,Lợi nhuận thuần trong năm - đã buto cือ trước đây,Lợi nhuận thuần trong năm - đã buto cือ trước đây,-,-,-,-,-,-,-,-,2.724.413.561.269,333.121.855.492,3.057.535.416.761,,,,,,,,,2724413561269.0,333121855492.0,3057535416761.0
Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),Đedu chính Since hóa cือ của Kõm toán Nhà nước (Thực marksh 35),-,-,-,-,-,-,-,-,354.086.975.000,2.009.493.566,356.096.465.566,,,,,,,,,354086975000.0,2009493566.0,356096465566.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,-,-,-,-,-,(226.055.974.159),(226.055.974.159),,,,,,,,,,-226055974159.0,-226055974159.0
Cổ phiếu thưởng,Cổ phiếu thưởng,Cổ phiếu thưởng,-,(3.825.441.203),136.007.640.000,-,-,-,(132.182.198.797),-,-,-,-,,-3825441203.0,136007640000.0,,,,-132182198797.0,,,,
Phân bổ vào các quy,Phân bổ vào các quy,Phân bổ vào các quy,-,-,-,-,-,-,94.651.617.736,-,(94.651.617.736),-,-,,,,,,,94651617736.0,,-94651617736.0,,
"Phân bổ vào quy@khen thưởng, phúc lợi","Phân bổ vào quy@khen thưởng, phúc lợi","Phân bổ vào quy@khen thưởng, phúc lợi",-,-,-,-,-,-,-,-,(179.032.319.700),(22.572.144.127),(201.604.463.827),,,,,,,,,-179032319700.0,-22572144127.0,-201604463827.0
Bư tríz phải thu về cổ phần hóa,Bư tríz phải thu về cổ phần hóa,Bư tríz phải thu về cổ phần hóa,-,-,-,-,-,-,-,-,(416.198.842.693),-,(416.198.842.693),,,,,,,,,-416198842693.0,,-416198842693.0
Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,Chính lệch tỷ giá hóa dealer phát sinh do việc quy đổi các hoạt động ở nước國家,-,-,-,-,-,(43.197.862.806),-,-,-,-,(43.197.862.806),,,,,,-43197862806.0,,,,,-43197862806.0
Xóa số chính lệch tỷ giá giai đoạn trước hoạt động,Xóa số chính lệch tỷ giá giai đoạn trước hoạt động,Xóa số chính lệch tỷ giá giai đoạn trước hoạt động,-,-,-,-,-,16.813.140.435,-,-,-,-,16.813.140.435,,,,,,16813140435.0,,,,,16813140435.0
Phân loại lại giữa các quy,Phân loại lại giữa các quy,Phân loại lại giữa các quy,-,-,-,-,-,-,(20.036.695.860),20.036.695.860,-,-,-,,,,,,,-20036695860.0,20036695860.0,,,
