row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2016 VND,1/1/2016 VND Đã điều chỉnh lại,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2016 VND,numeric__1/1/2016 VND Đã điều chỉnh lại
VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),VỐN CHỦ SỞ HỮU (400 = 410),400,,23.200.605.049.038,16.631.787.047.068,400.0,,23200605049038.0,16631787047068.0
Vốn chủ sở hữu,Vốn chủ sở hữu,Vốn chủ sở hữu,410,22,23.200.605.049.038,16.631.787.047.068,410.0,22.0,23200605049038.0,16631787047068.0
Vốn cổ phần,Vốn cổ phần,Vốn cổ phần,411,23,12.938.780.810.000,10.700.000.000.000,411.0,23.0,12938780810000.0,10700000000000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,12.938.780.810.000,10.700.000.000.000,,,12938780810000.0,10700000000000.0
Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,412,,3.003.630.250.509,164.462.417,412.0,,3003630250509.0,164462417.0
Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,Vốn khác của chủ sở hữu,414,,990.113.907.720,866.234.135.320,414.0,,990113907720.0,866234135320.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,415,,(1.550.648.460.000),-,415.0,,-1550648460000.0,
Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,Chênh lệch đánh giá lại tài sản,416,22,(1.317.118.937.352),(1.317.118.937.352),416.0,22.0,-1317118937352.0,-1317118937352.0
Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,417,,(73.836.949.005),(65.910.358.919),417.0,,-73836949005.0,-65910358919.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,418,,743.691.793.605,686.086.586.574,418.0,,743691793605.0,686086586574.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,420,,80.994.720.997,57.603.752.588,420.0,,80994720997.0,57603752588.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,421,,5.162.212.103.107,2.822.825.501.069,421.0,,5162212103107.0,2822825501069.0
- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,- LNST chưa phân phối đến cuối năm trước,421a,,492.815.755.653,2.822.825.501.069,,,492815755653.0,2822825501069.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,4.669.396.347.454,-,,,4669396347454.0,
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,429,,3.222.785.809.457,2.881.901.905.371,429.0,,3222785809457.0,2881901905371.0
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,54.244.434.491.698,50.844.627.972.075,440.0,,54244434491698.0,50844627972075.0
