row_label_raw,row_label_full,col_0,1/1/2016(theo báo cáotrước đây)VND,1/1/2016(điều chỉnh củaKiểm toán Nhà nước)VND,1/1/2016(đã điều chỉnh theoKiểm toán Nhà nước)VND,numeric__1/1/2016(theo báo cáotrước đây)VND,numeric__1/1/2016(điều chỉnh củaKiểm toán Nhà nước)VND,numeric__1/1/2016(đã điều chỉnh theoKiểm toán Nhà nước)VND
Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,Thuế và các khoản phải nộp Nhà nước,2.107.157.952.901,113.741.524.422,2.220.899.477.323,2107157952901.0,113741524422.0,2220899477323.0
Phải trả người lao động,Phải trả người lao động,Phải trả người lao động,784.292.457.598,(188.068.999),784.104.388.599,784292457598.0,-188068999.0,784104388599.0
Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,Chỉ phí phải trả ngắn hạn,201.714.261.726,(2.959.904.336),198.754.357.390,201714261726.0,-2959904336.0,198754357390.0
Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,Doanh thu chưa thực hiện ngắn hạn,63.432.968.321,1.089.693.416,64.522.661.737,63432968321.0,1089693416.0,64522661737.0
Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,Phải trả ngắn hạn khác,426.969.494.416,(25.382.569.074),401.586.925.342,426969494416.0,-25382569074.0,401586925342.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,12.560.241.239.904,198.176.000.000,12.758.417.239.904,12560241239904.0,198176000000.0,12758417239904.0
Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,Dự phòng phải trả ngắn hạn,2.565.790.759.007,(5.355.667.443),2.560.435.091.564,2565790759007.0,-5355667443.0,2560435091564.0
"Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi","Quỹ khen thưởng, phúc lợi",220.549.570.421,(193.900.000),220.355.670.421,220549570421.0,-193900000.0,220355670421.0
Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,Doanh thu chưa thực hiện dài hạn,5.462.736.921,235.345.500,5.698.082.421,5462736921.0,235345500.0,5698082421.0
Phải trả dài hạn khác,Phải trả dài hạn khác,Phải trả dài hạn khác,169.402.648.855,6.180.815.924,175.583.464.779,169402648855.0,6180815924.0,175583464779.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,3.116.154.874.291,(198.176.000.000),2.917.978.874.291,3116154874291.0,-198176000000.0,2917978874291.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,706.123.282.434,(20.036.695.860),686.086.586.574,706123282434.0,-20036695860.0,686086586574.0
Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,Quỹ khác thuộc vốn chủ sở hữu,37.567.056.728,20.036.695.860,57.603.752.588,37567056728.0,20036695860.0,57603752588.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,2.474.951.325.874,347.874.175.195,2.822.825.501.069,2474951325874.0,347874175195.0,2822825501069.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.888.793.357.315,(6.891.451.944),2.881.901.905.371,2888793357315.0,-6891451944.0,2881901905371.0
